time_open,time_close,side,entry,sl,tp,exit_price,R,MFE_R,MAE_R,module,weekday,gmt_hour,session_bucket,comment,atr_pct
2023.09.14 17:45:00,2023.09.15 09:21:01,BUY,15779.78,15640.93,15918.63,15919.33,1.0050,0.9978,0.0112,BRKRT,4,14,4,BRKRT_L,99.8000
2023.09.20 18:45:00,2023.09.20 22:18:21,BUY,15786.28,15730.97,15841.59,15730.73,-1.0044,0.3426,0.9863,BRKRT,3,15,4,BRKRT_L,48.6000
2023.09.28 18:45:00,2023.09.29 13:15:02,BUY,15343.98,15225.97,15461.99,15462.03,1.0004,0.9919,0.4995,BRKRT,4,15,4,BRKRT_L,89.8000
2023.10.10 17:45:00,2023.10.12 03:21:24,BUY,15425.28,15344.66,15505.90,15505.93,1.0004,0.9880,0.8391,BRKRT,2,14,4,BRKRT_L,59.4000
2023.10.24 17:45:00,2023.10.25 16:52:10,BUY,14887.68,14791.13,14984.23,14790.73,-1.0041,0.6499,0.9938,BRKRT,2,14,4,BRKRT_L,58.8000
2023.11.01 17:45:00,2023.11.02 11:20:00,BUY,14945.28,14827.10,15063.46,15063.54,1.0007,0.9989,0.4362,BRKRT,3,14,4,BRKRT_L,82.6000
2023.11.07 17:45:00,2023.11.08 08:53:07,BUY,15185.78,15085.23,15286.33,15084.63,-1.0060,0.1238,0.9960,BRKRT,2,14,4,BRKRT_L,65.8000
2023.11.08 16:30:00,2023.11.08 19:07:22,BUY,15250.98,15176.52,15325.44,15175.93,-1.0079,0.5499,0.9944,BRKRT,3,13,4,BRKRT_L,61.4000
2023.11.09 18:15:00,2023.11.10 03:32:02,BUY,15363.48,15246.93,15480.03,15246.83,-1.0009,0.0382,1.0738,BRKRT,4,15,4,BRKRT_L,70.8000
2023.11.14 18:15:00,2023.11.15 13:36:18,BUY,15624.68,15519.36,15730.00,15730.93,1.0088,0.9993,0.2350,BRKRT,2,15,4,BRKRT_L,100.0000
2023.11.24 18:15:00,2023.11.27 07:10:54,BUY,16043.18,15998.20,16088.16,15997.83,-1.0083,0.1701,0.9971,BRKRT,5,15,4,BRKRT_L,65.0000
2023.11.28 18:15:00,2023.11.29 10:02:43,BUY,15993.68,15947.93,16039.43,16040.23,1.0175,0.9978,0.6393,BRKRT,2,15,4,BRKRT_L,77.8000
