time_open,time_close,side,entry,sl,tp,exit_price,R,MFE_R,MAE_R,module,gmt_hour,weekday,session_bucket,or_high,or_low,or_width_atr,break_depth_atr,reclaim_atr,reclaim_gmt_hour,f_price_ema200,f_atr_pct,f_rel_vol,f_disp,f_h1_bias
1693913400,1693914135,BUY,15720.08,15684.48,15755.68,15756.53,1.0239,0.9958,-0.2121,FORB,8,2,London,15766.53,15694.73,2.7791,0.0968,0.9812,8,-5.4443,90.2000,0.2351,0.0774,-1
1694434500,1694435679,BUY,15797.88,15764.56,15831.20,15831.83,1.0189,0.9889,-0.1966,FORB,9,1,London,15874.33,15782.53,3.1400,0.3147,0.5250,9,1.9534,88.0000,0.2069,0.3934,1
1694517300,1694518981,BUY,15763.48,15731.45,15795.51,15731.43,-1.0006,0.6072,-0.9944,FORB,8,2,London,15832.23,15745.93,3.4609,0.2807,0.7038,8,-0.7785,76.8000,0.5198,0.2807,1
1694691000,1694692337,BUY,15605.68,15577.39,15633.97,15634.63,1.0233,0.9880,-0.4436,FORB,8,4,London,15660.13,15598.13,2.4044,0.5042,0.2928,8,-3.1528,70.6000,0.4538,0.3490,-1
1695037500,1695039170,BUY,15831.68,15804.58,15858.78,15804.13,-1.0166,0.0904,-0.9797,FORB,8,1,London,15879.43,15825.13,2.1578,0.5166,0.2603,8,-0.3148,68.6000,0.1214,0.1192,1
1696510800,1696512958,BUY,15070.98,15031.34,15110.62,15111.43,1.0204,0.9952,-0.3166,FORB,10,4,London,15114.43,15062.23,1.7228,0.7195,0.2888,9,-2.1457,80.8000,0.2053,0.2475,-1
1697455800,1697476739,BUY,15163.48,15087.42,15239.54,15239.93,1.0051,0.9920,-0.3622,FORB,8,1,London,15231.93,15114.93,3.6925,0.5681,1.5322,8,-4.1899,92.2000,0.2390,0.2367,-1
1697543100,1697544530,BUY,15206.08,15171.34,15240.82,15241.53,1.0204,0.9917,-0.1885,FORB,8,2,London,15284.03,15202.53,2.9869,0.8429,0.1301,8,-1.9534,81.6000,0.2423,0.1283,-1
1698147000,1698147254,BUY,14776.68,14747.79,14805.57,14747.13,-1.0228,0.0502,-0.9882,FORB,8,2,London,14836.13,14763.13,2.9822,0.3268,0.5535,8,-2.0989,57.6000,0.2426,0.2860,-1
1698233400,1698246625,BUY,14849.88,14797.07,14902.69,14903.33,1.0121,0.9932,-0.6542,FORB,8,3,London,14888.83,14814.33,2.7042,0.3267,1.2904,8,-0.0241,70.6000,0.3617,0.1270,1
1698323400,1698407969,BUY,14729.88,14646.03,14813.73,14814.13,1.0048,0.9928,-0.9738,FORB,9,4,London,14747.83,14661.83,2.0636,0.0792,1.6329,9,-2.0627,100.0000,0.1382,0.3719,-1
1698837300,1698837656,BUY,14880.28,14833.91,14926.65,14833.73,-1.0039,0.0528,-0.9823,FORB,8,3,London,14899.73,14862.73,2.3022,1.4933,1.0920,8,5.9877,27.8000,0.4727,0.2178,1
1699010100,1699013068,BUY,15201.48,15174.62,15228.34,15173.93,-1.0257,0.5752,-0.9885,FORB,8,5,London,15207.13,15182.93,2.1900,0.4525,1.6787,8,13.8865,17.4000,0.1730,0.3620,1
1699269300,1699269636,BUY,15184.18,15164.66,15203.70,15164.63,-1.0015,0.0231,-0.9841,FORB,8,1,London,15235.63,15175.63,3.4811,0.3365,0.4961,8,3.1251,43.0000,0.2264,0.2031,1
1700484300,1700487424,BUY,15899.28,15885.19,15913.37,15884.73,-1.0326,0.4578,-0.9617,FORB,9,1,London,15935.53,15893.93,2.3371,0.1910,0.3006,9,2.5567,66.2000,0.4458,0.2247,1
1701083700,1701083967,BUY,16015.68,16003.13,16028.23,16003.13,-1.0000,0.1952,-0.9203,FORB,8,1,London,16049.13,16009.13,2.9979,0.1499,0.4909,8,1.0841,69.6000,0.3784,0.2623,1
1704715200,1704730382,BUY,16591.48,16516.45,16666.51,16667.43,1.0123,0.9989,-0.0473,FORB,9,1,London,16653.93,16586.13,2.1456,1.9051,0.1693,8,0.1073,91.0000,0.1505,0.2532,-1
1705317300,1705331061,BUY,16675.88,16631.21,16720.55,16631.03,-1.0040,0.5921,-0.9816,FORB,8,1,London,16743.83,16653.43,3.7555,0.6231,0.9326,8,-1.3442,68.2000,0.2761,0.3323,1
1706013000,1706017185,BUY,16664.68,16641.88,16687.48,16688.13,1.0285,0.9846,-0.5066,FORB,9,2,London,16718.13,16653.13,2.6180,0.1530,0.4652,9,0.6276,86.6000,0.3453,0.3423,1
1706526900,1706527070,BUY,16900.58,16886.07,16915.09,16886.03,-1.0028,0.0310,-0.9338,FORB,8,1,London,16938.03,16892.03,3.4811,0.1514,0.6470,8,0.3933,38.8000,0.3920,0.3027,1
1707132600,1707134481,BUY,16910.68,16900.66,16920.70,16921.13,1.0429,0.9431,-0.9531,FORB,8,1,London,16950.13,16908.13,2.3032,0.1097,0.1398,8,-1.0292,71.6000,0.1950,0.2742,-1
1708343100,1708343739,BUY,17068.58,17053.36,17083.80,17084.03,1.0151,0.9494,-0.1018,FORB,8,1,London,17095.03,17064.03,1.9908,0.3853,0.2922,8,-0.3532,62.4000,0.3228,0.2569,1
1709656200,1709677275,BUY,17742.78,17648.37,17837.19,17648.23,-1.0015,0.2590,-0.9909,FORB,13,2,USOverlap,17767.23,17732.23,2.3026,5.2171,0.6941,13,1.7731,66.2000,1.2263,0.3289,-1
1710164700,1710187296,BUY,17733.28,17674.48,17792.08,17792.75,1.0114,0.9990,-0.4770,FORB,10,1,London,17777.73,17730.73,1.7091,1.7455,0.0927,10,-1.9905,99.0000,0.3893,0.0727,-1
