time_open,time_close,side,entry,sl,tp,exit_price,R,MFE_R,MAE_R,module,gmt_hour,weekday,session_bucket,or_high,or_low,or_width_atr,break_depth_atr,reclaim_atr,reclaim_gmt_hour,f_price_ema200,f_atr_pct,f_rel_vol,f_disp,f_h1_bias
1693913400,1693914135,BUY,15720.08,15684.48,15755.68,15756.53,1.0239,0.9958,-0.2121,FORB,8,2,London,15766.53,15694.73,2.7791,0.0968,0.9812,8,-5.4443,90.2000,0.2351,0.0774,-1
1694691000,1694692337,BUY,15605.68,15577.39,15633.97,15634.63,1.0233,0.9880,-0.4436,FORB,8,4,London,15660.13,15598.13,2.4044,0.5042,0.2928,8,-3.1528,70.6000,0.4538,0.3490,-1
1696510800,1696512958,BUY,15070.98,15031.34,15110.62,15111.43,1.0204,0.9952,-0.3166,FORB,10,4,London,15114.43,15062.23,1.7228,0.7195,0.2888,9,-2.1457,80.8000,0.2053,0.2475,-1
1697455800,1697476739,BUY,15163.48,15087.42,15239.54,15239.93,1.0051,0.9920,-0.3622,FORB,8,1,London,15231.93,15114.93,3.6925,0.5681,1.5322,8,-4.1899,92.2000,0.2390,0.2367,-1
1697543100,1697544530,BUY,15206.08,15171.34,15240.82,15241.53,1.0204,0.9917,-0.1885,FORB,8,2,London,15284.03,15202.53,2.9869,0.8429,0.1301,8,-1.9534,81.6000,0.2423,0.1283,-1
1698147000,1698147254,BUY,14776.68,14747.79,14805.57,14747.13,-1.0228,0.0502,-0.9882,FORB,8,2,London,14836.13,14763.13,2.9822,0.3268,0.5535,8,-2.0989,57.6000,0.2426,0.2860,-1
1698323400,1698407969,BUY,14729.88,14646.03,14813.73,14814.13,1.0048,0.9928,-0.9738,FORB,9,4,London,14747.83,14661.83,2.0636,0.0792,1.6329,9,-2.0627,100.0000,0.1382,0.3719,-1
1704715200,1704730382,BUY,16591.48,16516.45,16666.51,16667.43,1.0123,0.9989,-0.0473,FORB,9,1,London,16653.93,16586.13,2.1456,1.9051,0.1693,8,0.1073,91.0000,0.1505,0.2532,-1
1707132600,1707134481,BUY,16910.68,16900.66,16920.70,16921.13,1.0429,0.9431,-0.9531,FORB,8,1,London,16950.13,16908.13,2.3032,0.1097,0.1398,8,-1.0292,71.6000,0.1950,0.2742,-1
1710164700,1710187296,BUY,17733.28,17674.48,17792.08,17792.75,1.0114,0.9990,-0.4770,FORB,10,1,London,17777.73,17730.73,1.7091,1.7455,0.0927,10,-1.9905,99.0000,0.3893,0.0727,-1
1712835900,1712836113,BUY,18133.38,18114.05,18152.71,18113.83,-1.0114,0.0233,-0.9596,FORB,8,4,London,18154.83,18122.03,1.7020,0.1142,0.5890,8,-3.3936,48.0000,0.1062,0.3632,-1
1713438900,1713439200,BUY,17857.28,17834.94,17879.62,17834.73,-1.0094,0.0000,-0.9646,FORB,8,4,London,17899.73,17852.73,2.0757,0.4858,0.2009,8,-1.3114,39.6000,0.1645,0.0442,-1
1714485600,1714491032,BUY,18110.38,18052.12,18168.64,18052.03,-1.0015,0.0000,-0.9192,FORB,11,2,Midday,18193.33,18108.33,4.1077,2.4163,0.0991,10,-2.0255,61.0000,0.4085,0.3383,-1
1714651200,1714652313,BUY,17931.58,17910.86,17952.30,17953.03,1.0352,0.9870,-0.2196,FORB,9,4,London,17990.53,17926.53,1.8879,0.1622,0.1490,8,-3.9828,97.8000,0.0676,0.1770,-1
1715946300,1715965392,BUY,18671.38,18625.31,18717.45,18718.83,1.0300,0.9909,-0.3809,FORB,8,5,London,18721.53,18657.83,2.8428,1.1514,0.6047,8,-4.3938,92.2000,0.0985,0.1785,-1
1716466500,1716478489,BUY,18723.68,18676.43,18770.93,18771.63,1.0148,0.9894,-0.3185,FORB,9,4,London,18766.13,18707.63,2.4375,1.0000,0.6687,9,0.4569,92.0000,0.2948,0.3542,-1
1717587000,1717592102,BUY,18514.98,18491.32,18538.64,18539.63,1.0418,0.9996,-0.2346,FORB,8,3,London,18553.63,18503.63,2.3041,0.2673,0.5230,8,-0.7987,55.2000,0.1843,0.1843,-1
1718023500,1718026064,BUY,18391.98,18360.14,18423.82,18425.43,1.0506,0.9878,-0.3628,FORB,9,1,London,18482.03,18385.08,2.5763,0.3627,0.1834,9,-4.5076,98.0000,0.1352,0.1860,-1
1718104500,1718105966,BUY,18531.98,18497.78,18566.18,18497.43,-1.0102,0.2178,-0.9810,FORB,8,2,London,18555.43,18513.48,2.2267,0.5335,0.9820,8,0.0454,47.0000,0.3095,0.3716,-1
1718195400,1718196292,BUY,18449.68,18435.83,18463.53,18465.33,1.1300,0.9856,-0.9783,FORB,9,3,London,18510.33,18447.33,2.5899,0.1727,0.0966,9,-0.7270,68.8000,0.1848,0.2878,-1
1718712900,1718797765,BUY,18157.78,18074.73,18240.83,18074.23,-1.0060,0.4871,-0.9940,FORB,9,2,London,18228.23,18132.23,3.0462,1.5247,0.8107,9,-0.3483,77.6000,0.1117,0.1904,-1
1718798400,1718805285,BUY,18085.78,18057.31,18114.25,18115.23,1.0344,0.9993,-0.3425,FORB,9,3,London,18157.23,18080.03,2.9446,0.5664,0.2193,8,-2.6424,64.2000,0.1207,0.1907,-1
1719922500,1719923062,BUY,18151.88,18131.34,18172.42,18130.33,-1.0492,0.2653,-0.9713,FORB,9,2,London,18264.93,18148.33,3.2424,0.1724,0.0987,9,-3.6994,95.6000,0.0695,0.0834,-1
1721907900,1721935118,BUY,18208.83,18083.41,18334.25,18334.88,1.0050,0.9970,-0.8806,FORB,8,4,London,18239.88,18141.58,2.0810,0.9315,1.4237,8,-3.9294,100.0000,0.0890,0.1905,-1
1722946500,1722950945,BUY,17290.73,17245.74,17335.72,17335.88,1.0036,0.9858,-0.7524,FORB,9,2,London,17507.08,17279.28,2.7396,0.1034,0.1377,9,-3.4763,97.0000,0.2021,0.2890,-1
1730373300,1730394416,BUY,19135.53,19081.49,19189.57,19078.08,-1.0631,0.9354,-0.9891,FORB,8,4,London,19176.08,19121.68,2.5557,1.5879,0.6507,8,-9.9983,45.0000,0.3422,0.3289,-1
