time_open,time_close,side,entry,sl,tp,exit_price,R,MFE_R,MAE_R,module,gmt_hour,weekday,session_bucket,or_high,or_low,or_width_atr,break_depth_atr,reclaim_atr,reclaim_gmt_hour,f_price_ema200,f_atr_pct,f_rel_vol,f_disp,f_h1_bias
1735818300,1735822219,BUY,19916.83,19871.37,19962.29,19870.38,-1.0218,0.3641,-0.9998,FORB,8,4,London,20031.38,19902.18,2.7662,0.3597,0.3137,8,0.0267,100.0000,0.2645,0.3854,-1
1736766900,1736770019,BUY,20090.23,20053.81,20126.65,20053.78,-1.0008,0.3446,-0.9734,FORB,8,1,London,20193.28,20082.78,4.1575,0.7901,0.2803,8,-6.7582,67.6000,0.1884,0.2540,-1
1741691700,1741705857,BUY,22765.23,22629.14,22901.32,22628.38,-1.0056,0.6180,-0.9986,FORB,8,2,London,22787.88,22703.88,1.5814,1.1070,1.1550,8,-1.7383,37.6000,0.4641,0.2683,-1
1741865400,1741870768,BUY,22568.73,22419.46,22718.00,22718.18,1.0012,0.9958,-0.5507,FORB,8,4,London,22671.18,22553.28,2.0424,2.0181,0.2676,8,-1.4505,48.8000,0.2028,0.3811,-1
1742555700,1742556050,BUY,22913.28,22849.98,22976.58,22848.98,-1.0158,0.0703,-0.9937,FORB,8,5,London,23000.18,22868.18,3.2447,0.1475,1.1086,8,-4.6007,54.2000,0.4042,0.2028,-1
1742902200,1742902377,BUY,22884.88,22848.47,22921.29,22921.33,1.0011,0.9462,-0.5644,FORB,8,2,London,22950.33,22861.58,3.0059,0.1439,0.7892,8,-1.8424,40.6000,0.3283,0.3133,-1
1743075000,1743078478,BUY,22571.98,22469.08,22674.88,22675.93,1.0102,0.9908,-0.1074,FORB,8,4,London,22678.58,22567.08,2.5060,1.9026,0.1101,8,-7.2154,67.0000,0.2073,0.0225,-1
1749726900,1749729830,BUY,23668.68,23610.28,23727.08,23728.13,1.0180,0.9837,-0.6772,FORB,8,4,London,23818.13,23641.13,4.4794,0.4808,0.6972,8,-7.7616,79.8000,0.1689,0.1772,-1
1749815100,1749815148,BUY,23403.18,23372.06,23434.30,23370.33,-1.0556,0.1109,-0.9913,FORB,8,5,London,23550.63,23396.63,2.2461,0.0583,0.0955,8,-5.0900,98.0000,0.3866,0.3909,-1
1753442101,1753444441,BUY,24102.98,24055.41,24150.55,24151.63,1.0227,0.9807,-0.1335,FORB,8,5,London,24181.93,24071.63,2.9481,0.1336,0.8379,8,-5.3440,79.8000,0.1859,0.1336,-1
1754052300,1754056345,BUY,23683.48,23593.63,23773.33,23593.13,-1.0056,0.3411,-0.9944,FORB,9,5,London,23848.13,23660.13,3.3770,0.8945,0.4194,9,-7.4974,99.6000,0.1943,0.3233,-1
1755775800,1755781369,BUY,24278.72,24229.82,24327.62,24229.37,-1.0092,0.1360,-0.9683,FORB,8,4,London,24316.37,24252.37,2.0101,0.4083,0.8276,8,-1.1771,83.2000,0.2384,0.1822,-1
1756467000,1756478660,BUY,23940.84,23876.43,24005.25,24005.49,1.0037,0.9882,-0.8593,FORB,8,5,London,24056.99,23921.69,2.9927,0.7012,0.4236,8,-3.2256,97.8000,0.1250,0.1681,-1
1756811700,1756812098,BUY,23783.08,23741.04,23825.12,23827.83,1.0645,0.9931,-0.1082,FORB,8,2,London,24007.53,23774.53,4.5121,0.3486,0.1656,8,-4.4805,99.8000,0.2309,0.2324,-1
1757330100,1757341333,BUY,23760.08,23715.34,23804.82,23714.53,-1.0181,0.5867,-0.9958,FORB,8,1,London,23806.53,23736.53,2.2846,0.3917,0.7686,8,0.8522,63.0000,0.2016,0.2937,-1
1758547800,1758573038,BUY,23504.18,23418.48,23589.88,23590.63,1.0088,0.9971,-0.4498,FORB,10,1,London,23596.83,23478.63,2.9185,1.1852,0.6309,10,-2.7835,92.6000,0.0957,0.3704,-1
1760530500,1760539646,BUY,24310.28,24221.59,24398.97,24220.93,-1.0074,0.2441,-0.9962,FORB,9,3,London,24341.43,24256.93,1.9004,0.4948,1.1998,9,-0.8024,90.8000,0.3646,0.3329,-1
