time_open,time_close,side,entry,sl,tp,exit_price,R,MFE_R,MAE_R,module,gmt_hour,weekday,session_bucket,or_high,or_low,or_width_atr,break_depth_atr,reclaim_atr,reclaim_gmt_hour,f_price_ema200,f_atr_pct,f_rel_vol,f_disp,f_h1_bias
1693913400,1693914135,BUY,15720.08,15684.48,15755.68,15756.53,1.0239,0.9958,-0.2121,FORB,8,2,London,15766.53,15694.73,2.7791,0.0968,0.9812,8,-5.4443,90.2000,0.2351,0.0774,-1
1694015100,1694016191,BUY,15702.28,15667.56,15737.00,15737.23,1.0066,0.9778,-0.1022,FORB,12,3,Midday,15750.73,15676.53,3.4924,0.1224,1.2120,12,-4.1501,66.2000,2.0580,1.6944,-1
1694190600,1694734105,BUY,15721.98,15564.06,15879.90,15880.31,1.0026,0.9963,-0.9970,FORB,13,5,USOverlap,15789.43,15711.93,2.6214,4.7016,0.3399,13,-0.1352,88.6000,1.5597,1.0317,-1
1695037500,1695039170,BUY,15831.68,15804.58,15858.78,15804.13,-1.0166,0.0904,-0.9797,FORB,8,1,London,15879.43,15825.13,2.1578,0.5166,0.2603,8,-0.3148,68.6000,0.1214,0.1192,1
1695138300,1695139492,BUY,15669.18,15654.18,15684.18,15653.63,-1.0367,0.5633,-0.9700,FORB,12,2,Midday,15736.13,15660.63,3.6816,0.0146,0.4169,12,-4.8110,56.4000,1.5451,0.6339,-1
1695299400,1695300917,BUY,15641.88,15623.17,15660.59,15622.33,-1.0449,0.6120,-0.9914,FORB,9,4,London,15692.33,15636.83,1.8184,0.1474,0.1655,9,-2.1883,91.4000,0.1926,0.4915,-1
1695749400,1695764315,BUY,15279.28,15214.23,15344.33,15213.74,-1.0075,0.3989,-0.9923,FORB,14,2,USOverlap,15350.23,15257.73,3.0848,1.1505,0.7187,14,-4.9652,91.6000,1.3757,1.0005,-1
1695838500,1695840397,BUY,15220.68,15178.02,15263.34,15176.13,-1.0443,0.0000,-0.9974,FORB,15,3,USOverlap,15272.33,15204.53,2.2334,0.5732,0.5320,15,-3.1982,89.6000,0.9375,0.5929,-1
1695906000,1695926054,BUY,15218.08,15118.53,15317.63,15318.43,1.0080,0.9980,-0.2516,FORB,10,4,London,15250.53,15193.73,1.5489,1.7507,0.6640,9,-1.4807,99.8000,0.2847,0.6545,-1
1696014000,1696017723,BUY,15376.58,15346.87,15406.29,15346.03,-1.0283,0.5200,-0.9946,FORB,16,5,Late,15437.03,15373.33,2.0856,0.5664,0.1064,15,1.2731,85.6000,0.8511,0.4486,1
1696510800,1696512958,BUY,15070.98,15031.34,15110.62,15111.43,1.0204,0.9952,-0.3166,FORB,10,4,London,15114.43,15062.23,1.7228,0.7195,0.2888,9,-2.1457,80.8000,0.2053,0.2475,-1
1696607100,1696607359,BUY,15102.58,15065.71,15139.45,15065.03,-1.0184,0.0393,-0.9913,FORB,12,5,Midday,15173.83,15092.83,2.9204,0.6778,0.3515,12,-0.9180,67.4000,1.7024,0.5048,1
1697125500,1697126550,BUY,15506.28,15473.91,15538.65,15473.73,-1.0056,0.3846,-0.9747,FORB,12,4,Midday,15543.73,15485.73,2.9875,0.3091,1.0585,12,4.2570,48.4000,1.2803,1.2362,1
1697198400,1697198841,BUY,15354.48,15335.57,15373.39,15334.93,-1.0338,0.1824,-0.9810,FORB,9,5,London,15404.43,15351.43,2.2202,0.3645,0.1278,8,-2.2876,70.0000,0.2203,0.4189,-1
1697455800,1697476739,BUY,15163.48,15087.42,15239.54,15239.93,1.0051,0.9920,-0.3622,FORB,8,1,London,15231.93,15114.93,3.6925,0.5681,1.5322,8,-4.1899,92.2000,0.2390,0.2367,-1
1697543100,1697544530,BUY,15206.08,15171.34,15240.82,15241.53,1.0204,0.9917,-0.1885,FORB,8,2,London,15284.03,15202.53,2.9869,0.8429,0.1301,8,-1.9534,81.6000,0.2423,0.1283,-1
1697634900,1697635275,BUY,15185.68,15170.41,15200.95,15170.13,-1.0183,0.3569,-0.9528,FORB,10,3,London,15257.13,15183.13,2.5455,0.1376,0.0877,10,-1.8444,86.0000,0.2527,0.5744,-1
1697808600,1697809102,BUY,14839.48,14822.22,14856.74,14856.93,1.0110,0.9531,-0.2057,FORB,10,5,London,14913.93,14835.93,2.1840,0.0840,0.0994,10,-5.4040,96.8000,0.3171,0.4480,-1
1698059700,1698064152,BUY,14733.68,14694.45,14772.91,14694.13,-1.0082,0.7507,-0.9827,FORB,8,1,London,14836.13,14703.13,5.1968,0.0391,1.1937,8,-7.2973,64.0000,0.2323,0.4689,-1
1698147000,1698147254,BUY,14776.68,14747.79,14805.57,14747.13,-1.0228,0.0502,-0.9882,FORB,8,2,London,14836.13,14763.13,2.9822,0.3268,0.5535,8,-2.0989,57.6000,0.2426,0.2860,-1
1698233400,1698246625,BUY,14849.88,14797.07,14902.69,14903.33,1.0121,0.9932,-0.6542,FORB,8,3,London,14888.83,14814.33,2.7042,0.3267,1.2904,8,-0.0241,70.6000,0.3617,0.1270,1
1698323400,1698407969,BUY,14729.88,14646.03,14813.73,14814.13,1.0048,0.9928,-0.9738,FORB,9,4,London,14747.83,14661.83,2.0636,0.0792,1.6329,9,-2.0627,100.0000,0.1382,0.3719,-1
1698419700,1698421064,BUY,14715.68,14679.31,14752.05,14752.13,1.0022,0.9747,-0.0151,FORB,12,5,Midday,14762.43,14702.03,2.3180,0.5718,0.5238,12,-1.8940,60.8000,1.8515,0.9211,-1
1698687000,1698688905,BUY,14696.08,14672.30,14719.86,14720.53,1.0282,0.9861,-0.8221,FORB,14,1,USOverlap,14746.53,14693.53,1.9323,0.4740,0.0930,14,-1.3429,68.6000,0.8721,0.4010,-1
1698750900,1698753483,BUY,14759.68,14714.88,14804.48,14805.13,1.0145,0.9922,-0.4364,FORB,8,2,London,14767.13,14732.13,2.0000,0.6857,1.5743,8,1.6304,31.0000,0.9429,0.9714,-1
1698837300,1698837656,BUY,14880.28,14833.91,14926.65,14833.73,-1.0039,0.0528,-0.9823,FORB,8,3,London,14899.73,14862.73,2.3022,1.4933,1.0920,8,5.9877,27.8000,0.4727,0.2178,1
1699010100,1699013068,BUY,15201.48,15174.62,15228.34,15173.93,-1.0257,0.5752,-0.9885,FORB,8,5,London,15207.13,15182.93,2.1900,0.4525,1.6787,8,13.8865,17.4000,0.1730,0.3620,1
1699269300,1699269636,BUY,15184.18,15164.66,15203.70,15164.63,-1.0015,0.0231,-0.9841,FORB,8,1,London,15235.63,15175.63,3.4811,0.3365,0.4961,8,3.1251,43.0000,0.2264,0.2031,1
1699379100,1699533467,BUY,15185.78,15063.78,15307.78,15307.93,1.0012,0.9971,-0.8783,FORB,14,2,USOverlap,15235.63,15175.63,2.7907,4.9023,0.4721,14,2.7724,65.8000,0.7812,0.8837,-1
1699639200,1699643192,BUY,15214.68,15163.02,15266.34,15267.13,1.0153,0.9959,-0.0687,FORB,15,5,USOverlap,15262.43,15211.43,2.1519,1.7426,0.1371,14,-0.9695,93.0000,0.6614,0.4937,1
1699883100,1699885434,BUY,15273.78,15256.99,15290.57,15256.23,-1.0453,0.3842,-0.9857,FORB,10,1,London,15307.23,15264.23,2.0687,0.0481,0.4595,10,0.7882,80.2000,0.5082,0.7601,1
1700484300,1700487424,BUY,15899.28,15885.19,15913.37,15884.73,-1.0326,0.4578,-0.9617,FORB,9,1,London,15935.53,15893.93,2.3371,0.1910,0.3006,9,2.5567,66.2000,0.4458,0.2247,1
1701083700,1701083967,BUY,16015.68,16003.13,16028.23,16003.13,-1.0000,0.1952,-0.9203,FORB,8,1,London,16049.13,16009.13,2.9979,0.1499,0.4909,8,1.0841,69.6000,0.3784,0.2623,1
1701198000,1701254509,BUY,16011.98,15918.99,16104.97,16105.93,1.0103,0.9996,-0.5113,FORB,16,2,Late,16049.13,16009.13,3.0484,6.5694,0.2172,15,2.4108,69.6000,0.5545,0.4573,-1
1702917900,1702918570,BUY,16690.58,16670.30,16710.86,16670.03,-1.0133,0.3180,-0.9640,FORB,13,1,USOverlap,16744.53,16687.23,2.9989,0.5862,0.1753,13,-4.4618,73.0000,0.9802,1.1514,-1
1703243700,1703257236,BUY,16691.88,16666.57,16717.19,16717.33,1.0055,0.9660,-0.8514,FORB,8,5,London,16714.43,16675.43,2.4572,0.2583,1.0365,8,-1.2566,50.4000,0.1650,0.5041,-1
1703771100,1703774960,BUY,16722.78,16706.69,16738.87,16706.33,-1.0224,0.8359,-0.9602,FORB,10,4,London,16802.43,16720.43,4.3617,0.4309,0.1250,10,-2.3439,77.8000,0.5766,0.6489,1
1704715200,1704730382,BUY,16591.48,16516.45,16666.51,16667.43,1.0123,0.9989,-0.0473,FORB,9,1,London,16653.93,16586.13,2.1456,1.9051,0.1693,8,0.1073,91.0000,0.1505,0.2532,-1
1704987900,1704988742,BUY,16693.88,16653.87,16733.89,16653.33,-1.0135,0.4361,-0.9885,FORB,12,4,Midday,16719.03,16665.53,1.8973,0.1135,1.0054,12,-1.0458,86.2000,1.5574,1.7022,1
1705317300,1705331061,BUY,16675.88,16631.21,16720.55,16631.03,-1.0040,0.5921,-0.9816,FORB,8,1,London,16743.83,16653.43,3.7555,0.6231,0.9326,8,-1.3442,68.2000,0.2761,0.3323,1
1705941000,1705949854,BUY,16655.88,16610.79,16700.97,16701.33,1.0080,0.9858,-0.0787,FORB,13,1,USOverlap,16718.13,16653.13,4.2965,2.4986,0.1818,13,3.1950,44.2000,1.1916,1.4542,1
1706013000,1706017185,BUY,16664.68,16641.88,16687.48,16688.13,1.0285,0.9846,-0.5066,FORB,9,2,London,16718.13,16653.13,2.6180,0.1530,0.4652,9,0.6276,86.6000,0.3453,0.3423,1
1706526900,1706527070,BUY,16900.58,16886.07,16915.09,16886.03,-1.0028,0.0310,-0.9338,FORB,8,1,London,16938.03,16892.03,3.4811,0.1514,0.6470,8,0.3933,38.8000,0.3920,0.3027,1
1707132600,1707134481,BUY,16910.68,16900.66,16920.70,16921.13,1.0429,0.9431,-0.9531,FORB,8,1,London,16950.13,16908.13,2.3032,0.1097,0.1398,8,-1.0292,71.6000,0.1950,0.2742,-1
1707405300,1707498707,BUY,17006.78,16891.99,17121.57,16891.73,-1.0023,0.2653,-0.9936,FORB,12,4,Midday,17045.83,17002.03,2.6094,6.2553,0.2830,12,2.1886,52.2000,1.8396,1.4298,-1
1707918300,1707992160,BUY,16938.58,16825.43,17051.73,17051.93,1.0018,0.9929,-0.2788,FORB,10,3,London,17008.73,16932.73,4.3042,5.7767,0.3313,10,1.2380,75.4000,0.9993,0.8948,-1
1708343100,1708343739,BUY,17068.58,17053.36,17083.80,17084.03,1.0151,0.9494,-0.1018,FORB,8,1,London,17095.03,17064.03,1.9908,0.3853,0.2922,8,-0.3532,62.4000,0.3228,0.2569,1
1709560800,1709563223,BUY,17740.28,17713.74,17766.82,17767.23,1.0154,0.9778,-0.1714,FORB,11,1,Midday,17767.23,17732.23,2.3378,0.9351,0.5377,10,0.7851,65.6000,0.3747,0.8683,1
1709656200,1709677275,BUY,17742.78,17648.37,17837.19,17648.23,-1.0015,0.2590,-0.9909,FORB,13,2,USOverlap,17767.23,17732.23,2.3026,5.2171,0.6941,13,1.7731,66.2000,1.2263,0.3289,-1
1710164700,1710187296,BUY,17733.28,17674.48,17792.08,17792.75,1.0114,0.9990,-0.4770,FORB,10,1,London,17777.73,17730.73,1.7091,1.7455,0.0927,10,-1.9905,99.0000,0.3893,0.0727,-1
1710246600,1710257424,BUY,17835.78,17799.67,17871.89,17799.65,-1.0006,0.5386,-0.9970,FORB,9,2,London,17883.23,17828.83,2.9360,1.2737,0.3751,9,1.6657,71.2000,0.1687,0.5397,1
1710328500,1710329150,BUY,18029.78,18010.56,18049.00,18010.23,-1.0172,0.2836,-0.9651,FORB,8,3,London,18054.23,18020.93,2.5814,0.5039,0.6860,8,10.3038,31.8000,1.1902,0.5039,1
1710436500,1710437212,BUY,18002.28,17968.99,18035.57,17968.73,-1.0078,0.0436,-0.9838,FORB,14,4,USOverlap,18046.73,18000.23,2.0685,1.0899,0.0912,14,1.1388,89.8000,0.7904,0.4448,1
1710763200,1710779990,BUY,18055.68,17995.65,18115.71,17995.13,-1.0087,0.1408,-0.9920,FORB,9,1,London,18052.13,18019.13,2.2105,1.2727,2.4483,8,3.2577,41.2000,0.2267,0.2010,1
1710936000,1710944295,BUY,18044.68,18002.61,18086.75,18087.13,1.0090,0.9853,-0.3934,FORB,9,3,London,18061.63,18031.13,2.0237,1.5924,0.8991,8,2.1342,45.6000,0.1431,0.3981,1
1711373401,1711385997,BUY,18261.68,18227.46,18295.90,18296.63,1.0213,0.9921,-0.5070,FORB,10,1,London,18285.83,18256.63,1.4199,1.1184,0.2456,10,1.6806,85.0000,0.3634,0.4133,1
1711452600,1711453361,BUY,18325.18,18308.77,18341.59,18341.73,1.0085,0.9476,-0.2712,FORB,8,2,London,18356.63,18320.63,2.8000,0.6222,0.3539,8,3.6528,42.6000,0.3546,0.3889,1
1711625400,1711663290,BUY,18552.78,18523.17,18582.39,18582.73,1.0115,0.9946,-0.6096,FORB,8,4,London,18575.93,18541.23,2.2850,0.8890,0.7606,8,5.1775,55.8000,0.3274,0.3293,1
1712060100,1712062860,BUY,18569.58,18525.95,18613.21,18525.73,-1.0050,0.1135,-0.9821,FORB,9,2,London,18618.03,18550.03,2.1293,0.4540,0.6122,9,1.2691,100.0000,0.0629,0.1566,1
1712316600,1712317937,BUY,18210.08,18180.00,18240.16,18179.53,-1.0156,0.3142,-0.9824,FORB,8,5,London,18262.53,18199.53,2.5085,0.4778,0.4201,8,-6.0296,90.4000,0.1779,0.4181,-1
1712674800,1712681808,BUY,18273.48,18189.92,18357.04,18188.93,-1.0118,0.2304,-0.9999,FORB,12,2,Midday,18329.93,18265.93,2.3970,2.5468,0.2828,11,-1.4366,84.8000,1.2122,0.5243,-1
1712835900,1712836113,BUY,18133.38,18114.05,18152.71,18113.83,-1.0114,0.0233,-0.9596,FORB,8,4,London,18154.83,18122.03,1.7020,0.1142,0.5890,8,-3.3936,48.0000,0.1062,0.3632,-1
1712928601,1712936343,BUY,18173.88,18124.21,18223.55,18123.33,-1.0177,0.0896,-0.9976,FORB,10,5,London,18202.83,18163.83,1.6421,1.3684,0.4232,10,1.2803,66.0000,0.2952,0.8842,-1
1713205800,1713212351,BUY,18061.28,18017.27,18105.29,18016.93,-1.0077,0.8964,-0.9850,FORB,15,1,USOverlap,18121.03,18046.73,1.7601,0.3980,0.3447,15,-0.7471,94.4000,0.4674,0.4501,1
1713286800,1713301767,BUY,17817.28,17755.64,17878.92,17879.73,1.0131,0.9969,-0.6903,FORB,14,2,USOverlap,17869.53,17802.73,1.8075,0.9741,0.3937,13,-4.4442,89.4000,1.0357,0.2489,-1
1713384000,1713384413,BUY,17804.78,17780.71,17828.85,17829.11,1.0108,0.9967,-0.1890,FORB,17,3,Late,17880.23,17791.23,2.8050,0.0315,0.4271,16,-3.2551,71.8000,0.7896,0.9140,-1
1713438900,1713439200,BUY,17857.28,17834.94,17879.62,17834.73,-1.0094,0.0000,-0.9646,FORB,8,4,London,17899.73,17852.73,2.0757,0.4858,0.2009,8,-1.3114,39.6000,0.1645,0.0442,-1
1713784500,1713787450,BUY,17835.68,17806.58,17864.78,17865.63,1.0292,0.9948,-0.5000,FORB,8,1,London,17933.63,17819.93,5.2088,0.3115,0.7215,8,1.3245,24.4000,0.4657,0.7444,1
1713872700,1713875322,BUY,18027.38,18008.99,18045.77,18045.83,1.0033,0.9489,-0.9543,FORB,8,2,London,18101.33,18018.33,3.1757,0.0574,0.3463,8,4.6053,46.8000,0.1159,0.3731,1
1714057200,1714059638,BUY,18041.28,17982.75,18099.81,17982.74,-1.0002,0.2640,-0.9969,FORB,12,4,Midday,18133.73,18018.73,5.7644,1.5038,1.1303,11,-2.6867,34.0000,1.9646,1.1529,-1
1714389300,1714391715,BUY,18243.98,18223.90,18264.06,18223.43,-1.0234,0.1220,-0.9736,FORB,8,1,London,18279.43,18231.43,2.6031,0.1085,0.6806,8,5.4331,39.4000,0.1564,0.4339,1
1714485600,1714491032,BUY,18110.38,18052.12,18168.64,18052.03,-1.0015,0.0000,-0.9192,FORB,11,2,Midday,18193.33,18108.33,4.1077,2.4163,0.0991,10,-2.0255,61.0000,0.4085,0.3383,-1
1714651200,1714652313,BUY,17931.58,17910.86,17952.30,17953.03,1.0352,0.9870,-0.2196,FORB,9,4,London,17990.53,17926.53,1.8879,0.1622,0.1490,8,-3.9828,97.8000,0.0676,0.1770,-1
1714994100,1714995359,BUY,18071.18,18042.73,18099.63,18099.63,1.0000,0.9863,-0.1951,FORB,8,1,London,18091.63,18050.63,2.5087,0.1836,1.2574,8,1.7793,39.2000,0.3259,0.7955,1
1715080500,1715081849,BUY,18270.78,18248.47,18293.09,18293.23,1.0063,0.9615,-0.0247,FORB,8,2,London,18308.23,18258.23,2.6022,0.2082,0.6532,8,6.2894,62.4000,0.2551,0.2810,1
1715182200,1715182618,BUY,18491.98,18467.78,18516.18,18467.43,-1.0145,0.1839,-0.9731,FORB,12,3,Midday,18538.93,18483.23,2.9583,0.5205,0.4647,12,7.4221,55.4000,1.2750,1.1950,1
1715685303,1715686693,BUY,18722.28,18706.14,18738.42,18738.73,1.0192,0.9572,-0.2819,FORB,8,2,London,18760.73,18715.73,3.3036,0.4038,0.4809,8,-0.7743,48.6000,0.1689,0.4405,1
1715946300,1715965392,BUY,18671.38,18625.31,18717.45,18718.83,1.0300,0.9909,-0.3809,FORB,8,5,London,18721.53,18657.83,2.8428,1.1514,0.6047,8,-4.3938,92.2000,0.0985,0.1785,-1
1716315300,1716410245,BUY,18742.18,18637.26,18847.10,18637.25,-1.0001,0.3074,-0.9965,FORB,15,2,USOverlap,18762.63,18727.63,1.6487,3.9569,0.6854,15,0.1260,89.2000,0.8225,0.8950,-1
1716466500,1716478489,BUY,18723.68,18676.43,18770.93,18771.63,1.0148,0.9894,-0.3185,FORB,9,4,London,18766.13,18707.63,2.4375,1.0000,0.6687,9,0.4569,92.0000,0.2948,0.3542,-1
1716987600,1716992500,BUY,18583.38,18549.52,18617.24,18548.83,-1.0204,0.4268,-0.9908,FORB,10,3,London,18670.83,18581.63,2.7841,0.7023,0.0546,9,-3.7276,99.6000,0.1231,0.4058,-1
1717177500,1717179625,BUY,18467.38,18427.82,18506.94,18507.88,1.0238,0.9985,-0.0645,FORB,14,5,USOverlap,18509.83,18453.83,1.8649,0.5661,0.4512,14,-2.0217,96.4000,0.5759,0.8991,-1
1717413300,1717441385,BUY,18656.08,18591.65,18720.51,18591.03,-1.0096,0.9770,-0.9941,FORB,8,1,London,18721.58,18604.53,3.9745,0.1375,1.7504,8,3.0920,96.0000,0.2042,0.1019,1
1717500600,1717500898,BUY,18515.18,18494.57,18535.79,18493.63,-1.0456,0.4100,-0.9971,FORB,8,2,London,18579.63,18504.63,2.7926,0.0745,0.3928,8,-2.5465,87.6000,0.1979,0.2234,1
1717587000,1717592102,BUY,18514.98,18491.32,18538.64,18539.63,1.0418,0.9996,-0.2346,FORB,8,3,London,18553.63,18503.63,2.3041,0.2673,0.5230,8,-0.7987,55.2000,0.1843,0.1843,-1
