time_open,time_close,side,entry,sl,tp,exit_price,R,MFE_R,MAE_R,module,gmt_hour,weekday,session_bucket,or_high,or_low,or_width_atr,break_depth_atr,reclaim_atr,reclaim_gmt_hour,f_price_ema200,f_atr_pct,f_rel_vol,f_disp,f_h1_bias
1735818300,1735822219,BUY,19916.83,19871.37,19962.29,19870.38,-1.0218,0.3641,-0.9998,FORB,8,4,London,20031.38,19902.18,2.7662,0.3597,0.3137,8,0.0267,100.0000,0.2645,0.3854,-1
1735920000,1735921590,BUY,19913.83,19887.59,19940.07,19940.38,1.0118,0.9737,-0.2839,FORB,13,5,USOverlap,20031.38,19902.18,5.7060,0.3445,0.5145,12,-1.4172,37.4000,1.7365,0.3975,1
1736530200,1736740047,BUY,20295.53,20190.12,20400.94,20189.88,-1.0023,0.1712,-0.9833,FORB,14,5,USOverlap,20323.58,20253.08,1.5709,1.1030,0.9459,14,-0.5040,97.2000,0.5217,0.6685,1
1736766900,1736770019,BUY,20090.23,20053.81,20126.65,20053.78,-1.0008,0.3446,-0.9734,FORB,8,1,London,20193.28,20082.78,4.1575,0.7901,0.2803,8,-6.7582,67.6000,0.1884,0.2540,-1
1737387900,1737496887,BUY,20998.93,20884.14,21113.72,21114.08,1.0031,0.9944,-1.0510,FORB,12,1,Midday,20944.88,20898.68,1.9975,0.3286,4.3345,12,9.1400,65.8000,1.2012,0.3027,1
1737983700,1737990955,BUY,21160.93,21081.60,21240.26,21241.48,1.0154,0.9902,-0.1822,FORB,10,1,London,21222.48,21121.48,2.3531,0.6291,0.9191,10,-3.7256,100.0000,0.3127,0.8038,-1
1739191500,1739201189,BUY,21855.28,21793.52,21917.04,21917.73,1.0112,0.9788,-0.2356,FORB,9,1,London,21889.23,21825.23,2.6619,1.0190,1.2499,9,2.6665,49.8000,0.2621,0.4575,1
1740417300,1740421516,BUY,22326.03,22229.40,22422.66,22423.33,1.0069,0.9862,-0.0709,FORB,14,1,USOverlap,22547.83,22257.33,5.8963,0.2669,1.3944,14,-2.2710,95.0000,0.7219,1.3772,-1
1740746700,1741002664,BUY,22506.53,22206.09,22806.97,22807.28,1.0010,0.9977,-0.6539,FORB,9,5,London,22626.03,22496.53,2.4292,5.1481,0.1876,9,0.1921,92.6000,0.2343,0.4127,-1
1741101300,1741102130,BUY,22559.78,22507.07,22612.49,22506.23,-1.0159,0.1537,-0.9970,FORB,12,2,Midday,22767.93,22535.43,4.1489,0.2061,0.4345,12,-4.1283,83.0000,1.5532,1.3178,1
1741691700,1741705857,BUY,22765.23,22629.14,22901.32,22628.38,-1.0056,0.6180,-0.9986,FORB,8,2,London,22787.88,22703.88,1.5814,1.1070,1.1550,8,-1.7383,37.6000,0.4641,0.2683,-1
1741865400,1741870768,BUY,22568.73,22419.46,22718.00,22718.18,1.0012,0.9958,-0.5507,FORB,8,4,London,22671.18,22553.28,2.0424,2.0181,0.2676,8,-1.4505,48.8000,0.2028,0.3811,-1
1741950900,1741951818,BUY,22567.13,22452.83,22681.43,22682.23,1.0070,0.9969,-0.1754,FORB,8,5,London,22649.48,22554.48,2.6755,2.5629,0.3563,8,-1.5312,26.0000,0.3907,0.5281,-1
1742214600,1742217199,BUY,22987.93,22921.87,23053.99,23054.23,1.0036,0.9862,-0.4042,FORB,9,1,London,23024.48,22952.48,1.3205,0.2613,0.6502,9,2.7751,49.6000,0.0870,0.2017,1
1742399100,1742400999,BUY,23240.78,23193.93,23287.63,23193.43,-1.0107,0.4578,-0.9893,FORB,12,3,Midday,23363.68,23210.18,3.4106,0.0611,0.6799,12,-0.1122,54.4000,2.2807,0.5944,1
1742555700,1742556050,BUY,22913.28,22849.98,22976.58,22848.98,-1.0158,0.0703,-0.9937,FORB,8,5,London,23000.18,22868.18,3.2447,0.1475,1.1086,8,-4.6007,54.2000,0.4042,0.2028,-1
1742816700,1742816810,BUY,23028.58,23007.71,23049.45,23007.03,-1.0326,0.3570,-0.9847,FORB,8,1,London,23066.73,23023.98,1.3762,0.2237,0.1481,8,0.8183,39.2000,0.3000,0.4185,-1
1742902200,1742902377,BUY,22884.88,22848.47,22921.29,22921.33,1.0011,0.9462,-0.5644,FORB,8,2,London,22950.33,22861.58,3.0059,0.1439,0.7892,8,-1.8424,40.6000,0.3283,0.3133,-1
1743075000,1743078478,BUY,22571.98,22469.08,22674.88,22675.93,1.0102,0.9908,-0.1074,FORB,8,4,London,22678.58,22567.08,2.5060,1.9026,0.1101,8,-7.2154,67.0000,0.2073,0.0225,-1
1743160500,1743162903,BUY,22573.58,22520.35,22626.81,22627.03,1.0041,0.9478,-0.9966,FORB,8,5,London,22623.53,22531.78,2.6384,0.0288,1.2020,8,-5.3016,49.6000,0.3149,0.5032,-1
1743445800,1743501869,BUY,22179.68,21971.66,22387.70,22388.43,1.0035,0.9987,-0.1084,FORB,15,1,USOverlap,22309.13,22172.83,2.0784,2.7677,0.1045,15,-4.1629,96.0000,0.7729,0.4422,-1
1743593400,1743606480,BUY,22290.58,22182.94,22398.22,22180.03,-1.0270,0.8031,-0.9992,FORB,8,3,London,22517.83,22265.23,4.4344,1.1446,0.4450,8,-2.4730,80.2000,0.1917,0.1843,1
