time_open,time_close,side,entry,sl,tp,exit_price,R,MFE_R,MAE_R,module,gmt_hour,weekday,session_bucket,or_high,or_low,or_width_atr,break_depth_atr,reclaim_atr,reclaim_gmt_hour,f_price_ema200,f_atr_pct,f_rel_vol,f_disp,f_h1_bias
1735818300,1735822219,BUY,19916.83,19871.37,19962.29,19870.38,-1.0218,0.3641,-0.9998,FORB,8,4,London,20031.38,19902.18,2.7662,0.3597,0.3137,8,0.0267,100.0000,0.2645,0.3854,-1
1735920000,1735921590,BUY,19913.83,19887.59,19940.07,19940.38,1.0118,0.9737,-0.2839,FORB,13,5,USOverlap,20031.38,19902.18,5.7060,0.3445,0.5145,12,-1.4172,37.4000,1.7365,0.3975,1
1736766900,1736770019,BUY,20090.23,20053.81,20126.65,20053.78,-1.0008,0.3446,-0.9734,FORB,8,1,London,20193.28,20082.78,4.1575,0.7901,0.2803,8,-6.7582,67.6000,0.1884,0.2540,-1
1737387900,1737496887,BUY,20998.93,20884.14,21113.72,21114.08,1.0031,0.9944,-1.0510,FORB,12,1,Midday,20944.88,20898.68,1.9975,0.3286,4.3345,12,9.1400,65.8000,1.2012,0.3027,1
1741691700,1741705857,BUY,22765.23,22629.14,22901.32,22628.38,-1.0056,0.6180,-0.9986,FORB,8,2,London,22787.88,22703.88,1.5814,1.1070,1.1550,8,-1.7383,37.6000,0.4641,0.2683,-1
1741865400,1741870768,BUY,22568.73,22419.46,22718.00,22718.18,1.0012,0.9958,-0.5507,FORB,8,4,London,22671.18,22553.28,2.0424,2.0181,0.2676,8,-1.4505,48.8000,0.2028,0.3811,-1
1742214600,1742217199,BUY,22987.93,22921.87,23053.99,23054.23,1.0036,0.9862,-0.4042,FORB,9,1,London,23024.48,22952.48,1.3205,0.2613,0.6502,9,2.7751,49.6000,0.0870,0.2017,1
1742555700,1742556050,BUY,22913.28,22849.98,22976.58,22848.98,-1.0158,0.0703,-0.9937,FORB,8,5,London,23000.18,22868.18,3.2447,0.1475,1.1086,8,-4.6007,54.2000,0.4042,0.2028,-1
1742902200,1742902377,BUY,22884.88,22848.47,22921.29,22921.33,1.0011,0.9462,-0.5644,FORB,8,2,London,22950.33,22861.58,3.0059,0.1439,0.7892,8,-1.8424,40.6000,0.3283,0.3133,-1
1743075000,1743078478,BUY,22571.98,22469.08,22674.88,22675.93,1.0102,0.9908,-0.1074,FORB,8,4,London,22678.58,22567.08,2.5060,1.9026,0.1101,8,-7.2154,67.0000,0.2073,0.0225,-1
1743593400,1743606480,BUY,22290.58,22182.94,22398.22,22180.03,-1.0270,0.8031,-0.9992,FORB,8,3,London,22517.83,22265.23,4.4344,1.1446,0.4450,8,-2.4730,80.2000,0.1917,0.1843,1
1744370100,1744371198,BUY,20523.23,20352.93,20693.53,20350.28,-1.0156,0.0185,-0.9974,FORB,8,5,London,20826.28,20467.38,3.6563,0.8659,0.5690,8,-0.3059,35.6000,0.3066,0.3973,1
1744803000,1744827774,BUY,21101.53,20932.35,21270.71,21271.53,1.0048,0.9824,-0.0757,FORB,8,3,London,21143.88,20992.73,2.1210,0.5473,1.5267,8,1.2492,42.8000,0.1456,0.3122,1
1745839803,1745840520,BUY,22324.98,22288.87,22361.09,22361.43,1.0094,0.9762,-0.2645,FORB,8,1,London,22392.43,22311.13,2.2667,0.3206,0.3861,8,5.9297,28.6000,0.2382,0.3834,1
1746015300,1746018198,BUY,22531.28,22481.97,22580.59,22581.73,1.0231,0.9420,-0.3965,FORB,9,3,London,22616.23,22500.23,2.6859,0.1227,0.7189,9,3.4240,71.4000,0.1880,0.3473,1
1746619200,1746624607,BUY,23237.58,23194.52,23280.64,23193.03,-1.0346,0.6793,-0.9185,FORB,9,3,London,23293.83,23210.03,1.9776,0.0661,0.6501,8,1.5174,77.4000,0.2474,0.3658,1
1746790200,1746800873,BUY,23484.38,23428.10,23540.66,23423.83,-1.0759,0.5588,-0.9924,FORB,8,5,London,23529.83,23451.83,2.2435,0.3825,0.9362,8,4.8113,45.8000,0.3288,0.3451,1
1747049400,1747053076,BUY,23695.38,23602.28,23788.48,23788.83,1.0038,0.9930,-0.0166,FORB,8,1,London,23927.83,23691.53,3.6252,1.0693,0.0591,8,3.3921,98.2000,0.1821,0.1227,1
1747135800,1747143084,BUY,23576.28,23533.17,23619.39,23619.73,1.0079,0.9847,-0.4535,FORB,8,2,London,23638.23,23563.23,1.7914,0.4180,0.3117,8,0.7815,73.0000,0.3138,0.2866,1
1747656900,1747657964,BUY,23701.58,23673.75,23729.41,23730.03,1.0223,0.9863,-0.3791,FORB,9,1,London,23770.53,23690.03,2.3499,0.1751,0.3372,9,0.0042,68.2000,0.1923,0.2919,1
1747913400,1747919185,BUY,23962.08,23884.40,24039.76,23882.53,-1.0241,0.3405,-0.9983,FORB,8,4,London,24044.23,23912.23,3.4957,0.4370,1.3202,8,-0.2288,87.6000,0.5073,0.2648,1
1748004300,1748009992,BUY,24050.28,23993.68,24106.88,23986.03,-1.1352,0.7853,-0.9055,FORB,9,5,London,24137.73,24013.73,2.8506,0.1609,0.8402,9,1.0514,95.4000,0.3204,0.1609,1
