time_open,time_close,side,entry,sl,tp,exit_price,R,MFE_R,MAE_R,module,weekday,gmt_hour,session_bucket,comment,f_atr_pct,f_vwap_dist,f_price_ema200,f_range_w,f_rel_vol,f_disp,f_h1_bias,f_gap,f_va_width,f_poc_dist
1694005200,1694030340,BUY,15732.28,15631.38,15833.18,15708.23,-0.2384,0.5297,-0.5783,VPPOCF,3,10,London,VPPOC_REJECT_LONG,97.4000,0.0000,-2.0401,0.8055,0.3317,0.2693,-1,0,0.9635,-0.0005
1694097900,1694116740,BUY,15730.38,15613.16,15847.60,15715.83,-0.1241,0.2683,-0.5251,VPPOCF,4,11,Midday,VPPOC_REJECT_LONG,84.0000,0.0000,-0.9581,0.6278,0.4579,0.2358,-1,0,0.9407,0.0720
1695913200,1695926443,BUY,15216.58,15103.75,15329.41,15329.43,1.0002,0.9825,-0.1272,VPPOCF,4,12,Midday,VPPOC_REJECT_LONG,89.6000,-0.2836,-1.6417,0.8867,2.2104,0.1277,-1,0,1.1571,-0.0773
1696500000,1696535940,BUY,15115.98,14944.68,15287.28,15063.43,-0.3068,0.2128,-0.4586,VPPOCF,4,7,Frankfurt,VPPOC_REJECT_LONG,6.2000,0.0000,-2.0992,1.1344,0.9402,0.7535,-1,0,1.8609,-0.0005
1697536800,1697572740,BUY,15228.08,15108.07,15388.35,15259.53,0.2621,0.6120,-0.9628,VPPOCF,2,7,Frankfurt,VPPOC_REJECT_LONG,14.6000,0.0000,-2.7214,0.7902,1.6420,0.7278,-1,0,1.1478,-0.7321
1698400800,1698436740,BUY,14740.18,14558.73,14921.63,14649.13,-0.5018,0.4461,-0.5128,VPPOCF,5,7,Frankfurt,VPPOC_REJECT_LONG,13.6000,0.0000,-1.9216,0.7006,1.3476,0.7037,-1,0,0.8426,0.2366
1698688800,1698695940,BUY,14706.08,14577.98,14744.53,14711.53,0.0425,0.2377,-0.2151,VPPOCF,1,15,USOverlap,VPPOC_REJECT_LONG,77.8000,-1.7798,-0.8710,1.1223,0.7129,0.4019,-1,1,0.6822,-0.1833
1699297200,1699300741,BUY,15142.18,15041.05,15243.31,15129.63,-0.1241,0.0044,-0.1933,VPPOCF,1,16,Late,VPPOC_REJECT_LONG,45.8000,-1.9739,0.3582,0.6090,0.5638,0.9297,1,1,0.4476,-0.0878
1699438500,1699449811,BUY,15107.48,14999.50,15148.76,15149.23,0.3866,0.3792,-0.1885,VPPOCF,3,7,Frankfurt,VPPOC_REJECT_LONG,42.0000,0.0000,-1.6193,0.7040,0.4381,1.0695,-1,0,0.4031,-0.2270
1701109800,1701115140,BUY,15989.68,15899.39,16079.97,15985.13,-0.0504,0.0000,-0.2165,VPPOCF,1,15,USOverlap,VPPOC_REJECT_LONG,79.8000,-1.6925,-0.8467,0.5083,0.5351,0.8000,1,1,0.3931,0.1047
1702658700,1702663470,BUY,16754.88,16666.46,16795.07,16798.13,0.4891,0.4518,-0.2302,VPPOCF,5,13,USOverlap,VPPOC_REJECT_LONG,94.0000,-3.5452,-2.4056,2.2283,0.6495,0.4491,-1,0,1.0297,-0.2695
1702984500,1702992868,BUY,16719.38,16632.60,16747.99,16748.83,0.3394,0.3278,-0.2489,VPPOCF,2,8,London,VPPOC_REJECT_LONG,69.4000,0.0000,-0.9276,0.7830,0.3298,0.2160,-1,0,1.2592,-0.1811
1703153700,1703188740,BUY,16706.98,16611.71,16763.18,16684.43,-0.2367,0.1937,-0.6880,VPPOCF,4,7,Frankfurt,VPPOC_REJECT_LONG,32.8000,0.0000,-2.2795,1.3295,0.3485,0.4803,-1,0,0.6785,-0.3524
1703240100,1703275140,BUY,16701.88,16604.61,16799.15,16742.33,0.4159,0.5598,-0.3244,VPPOCF,5,7,Frankfurt,VPPOC_REJECT_LONG,34.0000,0.0000,-0.9707,0.7279,0.7220,1.2508,-1,0,0.7088,0.0100
1704449700,1704474107,BUY,16528.98,16422.51,16635.45,16636.43,1.0092,0.9998,-0.7378,VPPOCF,5,7,Frankfurt,VPPOC_REJECT_LONG,60.8000,0.0000,-4.6631,0.7794,0.7178,0.5663,-1,0,1.5212,-0.1228
1706722200,1706731140,BUY,16924.48,16829.28,16973.99,16901.93,-0.2369,0.1203,-0.6675,VPPOCF,3,14,USOverlap,VPPOC_REJECT_LONG,83.6000,-2.5327,-1.8203,0.5773,0.7786,0.7179,1,0,0.5838,-0.2957
1706807700,1706817540,BUY,16899.38,16800.76,16980.18,16915.83,0.1668,0.3189,-0.7255,VPPOCF,4,14,USOverlap,VPPOC_REJECT_LONG,86.4000,1.7846,-0.4847,1.2693,1.1101,0.4818,-1,0,0.6553,-0.5057
1708424100,1708459140,BUY,17070.58,16979.58,17161.58,17060.03,-0.1159,0.2577,-0.4896,VPPOCF,2,7,Frankfurt,VPPOC_REJECT_LONG,38.2000,0.0000,-0.0558,0.4090,0.2768,0.1284,-1,0,0.4819,-0.0764
1709651700,1709658019,BUY,17729.78,17649.00,17758.62,17759.23,0.3646,0.3522,-0.2296,VPPOCF,2,12,Midday,VPPOC_REJECT_LONG,53.8000,2.6712,1.0613,0.6146,2.2627,1.4660,-1,0,0.4668,-0.2143
1710860400,1710878340,BUY,18011.18,17906.77,18115.59,18049.13,0.3635,0.4305,-0.4171,VPPOCF,2,12,Midday,VPPOC_REJECT_LONG,92.6000,2.1562,0.8400,0.8032,0.9583,0.8806,-1,0,0.8094,-0.1801
1713434400,1713470340,BUY,17898.28,17687.75,18108.81,17816.73,-0.3874,0.0819,-0.6477,VPPOCF,4,7,Frankfurt,VPPOC_REJECT_LONG,21.6000,0.0000,0.6083,0.8358,0.6260,0.3086,-1,0,0.8800,0.3391
1713780000,1713815940,BUY,17908.18,17628.10,18188.26,17948.83,0.1451,0.1873,-0.3394,VPPOCF,1,7,Frankfurt,VPPOC_REJECT_LONG,9.4000,0.0000,7.7296,1.5520,1.5222,0.7813,1,1,0.7869,0.4747
1716396300,1716407941,BUY,18731.58,18613.88,18849.28,18672.43,-0.5025,0.0081,-0.6402,VPPOCF,3,13,USOverlap,VPPOC_REJECT_LONG,76.2000,2.5904,0.1015,0.7391,1.1725,1.4680,-1,0,0.7804,-0.1366
1716458400,1716494340,BUY,18711.18,18587.67,18834.69,18681.63,-0.2393,0.5137,-0.5591,VPPOCF,4,7,Frankfurt,VPPOC_REJECT_LONG,40.2000,0.0000,-0.0538,1.0707,0.5908,0.4073,-1,0,0.6959,0.1508
1717071301,1717099143,BUY,18505.38,18414.89,18595.87,18541.83,0.4028,0.4581,-0.4039,VPPOCF,4,9,London,VPPOC_REJECT_LONG,81.0000,0.0000,-3.0488,1.5164,0.1391,0.1638,-1,0,1.7462,-0.0582
1718626500,1718654340,BUY,18044.28,17909.27,18265.16,18110.43,0.4900,0.5270,-0.4426,VPPOCF,1,9,London,VPPOC_REJECT_LONG,94.2000,0.0000,-4.2359,1.6238,0.0640,0.2453,-1,1,2.4929,-0.9067
1719339300,1719345540,BUY,18172.78,18044.93,18219.42,18176.23,0.0270,0.1287,-0.1138,VPPOCF,2,15,USOverlap,VPPOC_REJECT_LONG,63.8000,1.9433,-1.1493,1.0323,0.6162,0.2942,-1,0,0.8974,-0.2033
1719396000,1719431940,BUY,18285.28,18050.65,18519.91,18180.73,-0.4456,0.3772,-0.9899,VPPOCF,3,7,Frankfurt,VPPOC_REJECT_LONG,26.2000,0.0000,6.1822,0.7943,0.7482,0.6528,1,0,0.7303,0.5537
1721155500,1721159940,BUY,18540.93,18424.87,18572.83,18562.48,0.1857,0.2029,-0.1159,VPPOCF,2,15,USOverlap,VPPOC_REJECT_LONG,80.8000,1.0901,-1.3346,0.9263,0.5313,0.4430,-1,0,0.8385,-0.1419
1722960900,1722974340,BUY,17262.53,17081.15,17443.91,17410.08,0.8135,0.9293,-0.1569,VPPOCF,2,13,USOverlap,VPPOC_REJECT_LONG,76.8000,-3.1605,-5.7243,2.0580,1.3558,1.2354,-1,0,2.4100,0.0023
1725375600,1725382290,BUY,18892.78,18796.02,18989.54,18795.23,-1.0082,0.0873,-0.9978,VPPOCF,2,12,Midday,VPPOC_REJECT_LONG,90.8000,-3.1545,-0.6613,1.0499,1.9779,0.8965,1,0,0.4347,-0.0201
1725886800,1725911940,BUY,18450.28,18353.42,18585.37,18505.73,0.5725,0.5828,-0.8110,VPPOCF,1,10,London,VPPOC_REJECT_LONG,74.4000,0.0000,-1.3039,1.8444,0.4648,0.2407,-1,1,1.2892,-0.7028
1726052401,1726071355,BUY,18362.28,18246.90,18446.78,18447.73,0.7406,0.7319,-0.7215,VPPOCF,3,8,London,VPPOC_REJECT_LONG,47.6000,0.0000,-1.1331,1.4610,0.5283,0.3964,-1,0,0.8005,-0.4038
1727091000,1727121540,BUY,18802.78,18654.05,18984.49,18853.23,0.3392,0.4535,-0.3735,VPPOCF,1,8,London,VPPOC_REJECT_LONG,93.2000,0.0000,-0.7165,1.0417,0.1955,0.5960,-1,1,1.1252,-0.7415
1729074600,1729108740,BUY,19476.03,19341.64,19610.42,19451.63,-0.1816,0.3170,-0.5015,VPPOCF,3,7,Frankfurt,VPPOC_REJECT_LONG,60.0000,0.0000,0.3664,0.7761,0.2721,0.6538,1,0,0.8053,-0.0942
1729159200,1729182137,BUY,19492.48,19337.66,19647.30,19648.93,1.0105,0.9847,-0.1457,VPPOCF,4,7,Frankfurt,VPPOC_REJECT_LONG,49.2000,0.0000,1.5958,0.5019,0.7050,1.0161,1,0,0.7484,-0.0274
1729688400,1729713540,BUY,19435.28,19319.39,19551.17,19387.73,-0.4103,0.2800,-0.9194,VPPOCF,3,10,London,VPPOC_REJECT_LONG,86.8000,0.0000,-1.6860,1.0453,0.1869,0.2429,-1,0,0.8913,-0.0373
1729764000,1729769540,BUY,19409.28,19275.62,19542.94,19543.73,1.0059,0.9984,-0.0415,VPPOCF,4,7,Frankfurt,VPPOC_REJECT_LONG,49.4000,0.0000,-1.1508,0.8297,1.0925,0.2084,-1,0,0.9026,0.0841
1729851300,1729857385,BUY,19407.38,19301.40,19440.59,19440.83,0.3156,0.3062,-0.2128,VPPOCF,5,7,Frankfurt,VPPOC_REJECT_LONG,53.4000,0.0000,-1.5737,1.1176,0.4284,0.2892,-1,0,0.9930,-0.1601
