time_open,time_close,side,entry,sl,tp,exit_price,R,MFE_R,MAE_R,module,weekday,gmt_hour,session_bucket,comment,f_atr_pct,f_vwap_dist,f_price_ema200,f_range_w,f_rel_vol,f_disp,f_h1_bias,f_gap,f_va_width,f_poc_dist
1695913200,1695926443,BUY,15216.58,15103.75,15329.41,15329.43,1.0002,0.9825,-0.1272,VPPOCF,4,12,Midday,VPPOC_REJECT_LONG,89.6000,-0.2836,-1.6417,0.8867,2.2104,0.1277,-1,0,1.1571,-0.0773
1696500000,1696932381,BUY,15115.98,14944.68,15287.28,15287.51,1.0013,0.9989,-0.5251,VPPOCF,4,7,Frankfurt,VPPOC_REJECT_LONG,6.2000,0.0000,-2.0992,1.1344,0.9402,0.7535,-1,0,1.8609,-0.0005
1697536800,1697647260,BUY,15228.08,15108.07,15388.35,15107.13,-1.0078,0.6120,-0.9995,VPPOCF,2,7,Frankfurt,VPPOC_REJECT_LONG,14.6000,0.0000,-2.7214,0.7902,1.6420,0.7278,-1,0,1.1478,-0.7321
1702984500,1702992868,BUY,16719.38,16632.60,16747.99,16748.83,0.3394,0.3278,-0.2489,VPPOCF,2,8,London,VPPOC_REJECT_LONG,69.4000,0.0000,-0.9276,0.7830,0.3298,0.2160,-1,0,1.2592,-0.1811
1704449700,1704474107,BUY,16528.98,16422.51,16635.45,16636.43,1.0092,0.9998,-0.7378,VPPOCF,5,7,Frankfurt,VPPOC_REJECT_LONG,60.8000,0.0000,-4.6631,0.7794,0.7178,0.5663,-1,0,1.5212,-0.1228
1717071301,1717195974,BUY,18505.38,18414.89,18595.87,18595.96,1.0010,0.9994,-0.7885,VPPOCF,4,9,London,VPPOC_REJECT_LONG,81.0000,0.0000,-3.0488,1.5164,0.1391,0.1638,-1,0,1.7462,-0.0582
1718626500,1718908502,BUY,18044.28,17909.27,18265.16,18265.23,1.6365,1.6336,-0.4426,VPPOCF,1,9,London,VPPOC_REJECT_LONG,94.2000,0.0000,-4.2359,1.6238,0.0640,0.2453,-1,1,2.4929,-0.9067
1722960900,1722980064,BUY,17262.53,17081.15,17443.91,17444.08,1.0009,0.9954,-0.1569,VPPOCF,2,13,USOverlap,VPPOC_REJECT_LONG,76.8000,-3.1605,-5.7243,2.0580,1.3558,1.2354,-1,0,2.4100,0.0023
1725886800,1725979084,BUY,18450.28,18353.42,18585.37,18352.73,-1.0071,0.7208,-0.9555,VPPOCF,1,10,London,VPPOC_REJECT_LONG,74.4000,0.0000,-1.3039,1.8444,0.4648,0.2407,-1,1,1.2892,-0.7028
1727091000,1727171340,BUY,18802.78,18654.05,18984.49,18984.53,1.2220,1.2153,-0.3735,VPPOCF,1,8,London,VPPOC_REJECT_LONG,93.2000,0.0000,-0.7165,1.0417,0.1955,0.5960,-1,1,1.1252,-0.7415
1730466900,1730888876,BUY,19167.23,19052.02,19510.88,19511.18,2.9854,2.9802,-0.7287,VPPOCF,5,10,London,VPPOC_REJECT_LONG,71.4000,0.0000,-1.1542,1.1094,0.3435,0.3627,-1,0,2.4146,-1.6862
