time_open,time_close,side,entry,sl,tp,exit_price,R,MFE_R,MAE_R,module,gmt_hour,weekday,session_bucket,pullback_depth_atr,resume_str,f_price_ema200,f_atr_pct,f_rel_vol,f_disp,f_h1_bias
1693566000,1693586135,BUY,15977.07,15903.79,16196.91,15903.79,-1.0000,0.1703,-0.9997,TREND,8,5,London,3.2063,0.3104,1.9427,56.8000,0.3123,0.0781,1
1694434500,1694438104,BUY,15797.88,15764.56,15897.84,15808.33,0.3136,1.3190,-0.1966,TREND,9,1,London,0.6608,0.1790,1.9534,88.0000,0.2069,0.3934,1
1696618800,1697144726,BUY,15276.58,15057.62,15933.46,15350.23,0.3364,1.3388,-0.9397,TREND,16,5,Late,1.6486,2.0544,2.6802,100.0000,0.7019,0.1463,1
1698772500,1698838098,BUY,14819.68,14750.95,15025.87,14830.73,0.1608,1.1647,-0.8664,TREND,14,2,USOverlap,1.2183,1.3540,3.1578,54.8000,1.5492,1.9224,1
1698852600,1698898701,BUY,14840.28,14776.91,15030.39,15031.03,3.0101,2.9943,-0.0402,TREND,12,3,Midday,1.8542,0.6339,2.2304,48.8000,0.4463,2.5959,1
1698920100,1698927491,BUY,15023.88,14987.16,15134.04,15134.33,3.0079,2.9807,-0.5596,TREND,7,4,Frankfurt,1.8703,1.6662,15.9298,8.4000,0.9088,0.2612,1
1699011900,1699013402,BUY,15213.48,15173.61,15333.09,15172.93,-1.0171,0.0865,-0.9920,TREND,8,5,London,2.0569,0.4106,11.2768,28.0000,0.0679,0.3818,1
1699459200,1699595503,BUY,15217.98,15082.90,15623.22,15232.83,0.1099,1.1101,-0.4209,TREND,13,3,USOverlap,3.6443,3.1304,4.4795,60.6000,1.5115,0.8380,1
1702381500,1702384285,BUY,16850.28,16813.05,16961.97,16812.73,-1.0086,0.0927,-0.9817,TREND,8,2,London,1.5232,0.5643,4.5666,69.6000,0.2577,0.3207,1
1703681100,1703774892,BUY,16779.98,16712.05,16983.77,16711.33,-1.0106,0.7957,-0.9959,TREND,9,3,London,1.8379,0.2944,1.4275,97.6000,0.4612,0.2506,1
1703780100,1703873360,BUY,16738.88,16700.82,16853.06,16767.23,0.7449,1.7696,-0.9945,TREND,13,4,USOverlap,2.0874,0.1439,-1.5976,54.4000,1.4545,0.9112,1
1704968100,1704972662,BUY,16810.08,16761.59,16955.55,16761.33,-1.0054,0.8301,-0.9847,TREND,7,4,Frankfurt,2.1899,0.5803,5.8750,48.2000,0.5453,0.5699,1
1707488100,1707495672,BUY,16981.28,16952.33,17068.13,16951.73,-1.0207,0.5682,-0.9862,TREND,11,5,Midday,1.1885,0.3209,0.5085,54.0000,0.2230,0.3750,1
1707750900,1707752642,BUY,16999.88,16973.19,17079.95,16972.83,-1.0135,0.0000,-0.9760,TREND,12,1,Midday,1.2456,0.5405,2.1312,43.8000,2.1852,2.2669,1
1708625700,1708658100,BUY,17389.38,17355.97,17489.61,17400.03,0.3188,1.4202,-0.7049,TREND,15,4,USOverlap,0.4806,0.6809,8.4562,93.4000,0.7799,0.5250,1
1709293500,1709295728,BUY,17801.58,17741.04,17983.20,17741.03,-1.0002,0.0735,-0.9836,TREND,8,5,London,2.2613,0.4720,6.1212,91.0000,0.1388,0.2255,1
1709904600,1709911815,BUY,17865.28,17804.97,18046.21,17804.73,-1.0040,0.0000,-0.9980,TREND,10,5,London,2.5360,0.3052,3.0105,79.0000,0.2128,0.5208,1
1710251100,1710257424,BUY,17843.78,17799.24,17977.40,17799.11,-1.0029,0.2571,-0.9998,TREND,10,2,London,1.6783,0.2533,1.8853,82.0000,0.5138,0.4009,1
1711017000,1711018827,BUY,18254.68,18230.16,18328.24,18230.13,-1.0012,0.0184,-0.9604,TREND,7,4,Frankfurt,0.7713,1.4087,16.1751,17.0000,0.9260,0.2023,1
1711536300,1711541278,BUY,18456.68,18435.40,18520.52,18464.13,0.3501,1.3745,-0.8717,TREND,7,3,Frankfurt,1.5867,0.4502,9.7379,17.8000,0.4929,0.4392,1
1713788100,1713866675,BUY,17878.18,17804.88,18098.08,18098.33,3.0034,2.9898,-0.2394,TREND,9,1,London,1.4254,0.9394,2.5390,49.6000,0.1610,0.3635,1
1713875400,1713883776,BUY,18045.38,18001.46,18177.14,18087.83,0.9665,1.9684,-0.2174,TREND,9,2,London,0.7047,0.5701,4.8336,54.8000,0.1042,0.3586,1
1713957300,1713973270,BUY,18271.28,18213.31,18445.19,18212.73,-1.0100,0.0250,-0.9928,TREND,8,3,London,1.8353,0.5752,9.1440,33.0000,0.2509,0.4442,1
1715768100,1715768786,BUY,18802.28,18777.70,18876.02,18777.50,-1.0081,0.0000,-0.9988,TREND,7,3,Frankfurt,1.7967,0.3362,4.5011,26.6000,0.2632,0.5938,1
1716229800,1716237045,BUY,18782.08,18752.82,18869.86,18752.53,-1.0099,0.1521,-0.9757,TREND,15,1,USOverlap,1.4274,0.1363,1.3349,69.2000,0.5293,0.5732,1
1716815704,1716828779,BUY,18729.68,18703.11,18809.39,18760.63,1.1648,2.1810,-0.5213,TREND,10,1,London,0.6119,0.3105,2.2315,77.8000,0.2523,0.6211,1
1717414200,1717441385,BUY,18668.08,18591.15,18898.87,18591.03,-1.0016,0.6623,-0.9886,TREND,8,1,London,1.7812,0.3929,3.2821,98.4000,0.1684,0.0965,1
1717611300,1717676765,BUY,18595.18,18516.91,18829.99,18717.43,1.5619,2.5674,-0.1699,TREND,15,3,USOverlap,2.1355,0.5303,1.9725,80.6000,0.4291,0.4547,1
1717682400,1717686963,BUY,18728.18,18689.62,18843.86,18689.45,-1.0044,0.1932,-0.9997,TREND,11,4,Midday,0.6824,0.6682,5.2444,66.8000,0.4009,1.4982,1
1718901900,1718988030,BUY,18195.78,18117.59,18430.35,18116.83,-1.0097,0.9777,-0.9969,TREND,13,4,USOverlap,1.5263,1.2445,2.1730,64.2000,1.2123,0.6480,1
1718990100,1719259654,BUY,18170.58,18083.39,18432.15,18282.15,1.2796,2.2801,-0.4364,TREND,14,5,USOverlap,2.4577,0.2697,-0.3808,80.6000,0.8431,0.2500,1
1719846000,1719914182,BUY,18334.38,18261.91,18551.79,18261.33,-1.0080,0.8134,-0.9942,TREND,12,1,Midday,1.9996,0.2821,2.0078,73.0000,1.8322,2.7608,1
1721826900,1721857796,BUY,18449.73,18346.18,18760.38,18346.18,-1.0000,0.1598,-0.9826,TREND,10,3,London,2.2784,0.6562,-0.3624,84.2000,0.2146,0.2905,1
1722358800,1722511442,BUY,18463.83,18272.40,19038.12,18272.28,-1.0006,0.6240,-0.9954,TREND,14,2,USOverlap,7.3532,2.4526,4.1663,36.4000,0.8448,0.6863,1
1723057200,1723060116,BUY,17601.53,17549.42,17757.86,17549.05,-1.0071,0.1641,-0.9960,TREND,16,3,Late,0.9321,0.2340,2.4858,43.2000,0.5725,0.6470,1
1726495200,1726505089,BUY,18669.48,18614.35,18834.87,18613.63,-1.0131,0.1841,-0.9949,TREND,11,1,Midday,2.0076,0.0783,2.5919,43.8000,0.8642,0.5626,1
1727260200,1727345222,BUY,18917.78,18841.09,19147.85,19148.06,3.0027,2.9982,-0.5353,TREND,7,3,Frankfurt,2.5358,0.3860,0.2668,56.6000,0.3506,0.3781,1
1728644400,1728899674,BUY,19233.73,19171.95,19419.07,19419.28,3.0034,2.9994,-0.8652,TREND,8,5,London,2.7144,0.5985,2.1192,32.2000,0.2572,0.2339,1
1728908100,1728962190,BUY,19430.43,19384.59,19567.95,19567.98,3.0007,2.9897,-0.5988,TREND,9,1,London,0.7303,0.6094,5.1112,81.2000,0.1229,0.2862,1
1729882800,1729887691,BUY,19464.38,19430.46,19566.14,19429.83,-1.0186,0.8093,-0.9891,TREND,16,5,Late,0.8954,0.0205,0.6729,81.8000,0.7106,0.4302,1
1730720700,1730734808,BUY,19264.93,19207.00,19438.72,19206.48,-1.0090,0.3893,-0.9917,TREND,8,1,London,1.4936,0.5302,1.7259,64.8000,0.3970,0.3610,1
1731348000,1731349584,BUY,19480.23,19459.62,19542.06,19458.78,-1.0408,0.3178,-0.9922,TREND,15,1,USOverlap,0.4891,0.0744,6.4151,55.2000,0.9236,0.8378,1
1731410100,1731430881,BUY,19303.33,19217.80,19559.92,19216.08,-1.0201,0.4881,-0.9967,TREND,8,2,London,2.1367,0.2137,-1.2048,79.8000,0.2182,0.4338,1
1733922000,1734063058,BUY,20371.83,20299.60,20588.52,20396.48,0.3413,1.3533,-0.3427,TREND,10,3,London,1.8883,0.7098,0.8770,80.4000,0.3469,0.3611,1
