InpStartHour,InpEndHour,InpEndMinute,InpFvgMaxAgeBars,InpRiskPercent,total_trades,win_rate,profit_factor,max_drawdown,max_consecutive_losses,sharpe_ratio
8.0,14.0,39.0,1.0,0.399,0,0.0,0.0,1.0,0,0.0
10.0,7.0,16.0,3.0,0.6793,0,0.0,0.0,1.0,0,0.0
12.0,12.0,32.0,2.0,0.5592,2,0.5,1.87,0.0059,1,0.14
5.0,9.0,25.0,3.0,0.269,24,0.25,0.67,0.0292,9,-5.0
6.0,12.0,22.0,4.0,0.3568,40,0.45,1.63,0.0143,3,5.84
13.0,9.0,45.0,2.0,0.5648,0,0.0,0.0,1.0,0,0.0
9.0,15.0,27.0,3.0,0.6965,31,0.5161,2.05,0.0276,4,6.23
7.0,6.0,34.0,2.0,0.475,0,0.0,0.0,1.0,0,0.0
7.0,11.0,29.0,2.0,0.6444,16,0.3125,0.89,0.0256,4,-0.69
9.0,10.0,36.0,4.0,0.4346,9,0.5556,2.47,0.0086,2,2.9
12.0,14.0,20.0,2.0,0.3046,8,0.25,0.61,0.0121,4,-0.31
5.0,7.0,43.0,3.0,0.5243,9,0.2222,0.56,0.031,6,-1.47
4.0,15.0,30.0,3.0,0.5999,50,0.36,1.1,0.0703,7,1.07
11.0,6.0,23.0,1.0,0.3214,0,0.0,0.0,1.0,0,0.0
10.0,13.0,41.0,4.0,0.4396,24,0.25,0.64,0.0446,7,-2.75
8.0,8.0,18.0,2.0,0.7316,3,0.3333,0.99,0.0146,2,0.0
8.0,13.0,37.0,3.0,0.2604,21,0.5238,2.15,0.0154,6,4.98
11.0,8.0,29.0,2.0,0.5367,0,0.0,0.0,1.0,0,0.0
11.0,16.0,41.0,4.0,0.6704,28,0.4286,1.47,0.033,5,3.81
4.0,5.0,20.0,2.0,0.3766,7,0.1429,0.33,0.0187,5,-0.62
5.0,14.0,24.0,2.0,0.4993,41,0.3171,0.92,0.0587,11,-1.16
12.0,7.0,32.0,3.0,0.7035,0,0.0,0.0,1.0,0,0.0
10.0,11.0,18.0,1.0,0.5893,0,0.0,0.0,1.0,0,0.0
7.0,10.0,40.0,3.0,0.3635,23,0.3478,1.06,0.0252,7,1.27
6.0,15.0,16.0,4.0,0.5019,42,0.3571,1.09,0.0298,6,1.04
9.0,6.0,38.0,2.0,0.2957,0,0.0,0.0,1.0,0,0.0
13.0,12.0,26.0,3.0,0.412,0,0.0,0.0,1.0,0,0.0
6.0,9.0,33.0,1.0,0.6357,0,0.0,0.0,1.0,0,0.0
5.0,11.0,43.0,1.0,0.7384,0,0.0,0.0,1.0,0,0.0
11.0,10.0,21.0,3.0,0.4641,0,0.0,0.0,1.0,0,0.0
10.0,15.0,36.0,2.0,0.3283,18,0.3889,1.26,0.0196,6,3.04
7.0,6.0,27.0,4.0,0.6241,0,0.0,0.0,1.0,0,0.0
8.0,12.0,20.0,3.0,0.4769,23,0.4348,1.52,0.0374,8,3.58
10.0,9.0,43.0,1.0,0.6947,0,0.0,0.0,1.0,0,0.0
11.0,14.0,29.0,3.0,0.5746,13,0.3077,0.86,0.0341,5,-0.42
5.0,7.0,36.0,2.0,0.347,11,0.0,0.0,0.0375,11,-5.0
6.0,15.0,40.0,2.0,0.2789,28,0.3214,0.94,0.0222,7,-1.13
13.0,6.0,19.0,4.0,0.5493,0,0.0,0.0,1.0,0,0.0
9.0,12.0,31.0,2.0,0.6812,12,0.5,1.99,0.0336,5,2.2
6.0,9.0,23.0,3.0,0.3971,21,0.4286,1.5,0.0313,8,5.47
7.0,13.0,33.0,4.0,0.7218,31,0.4194,1.42,0.0216,3,5.18
9.0,8.0,24.0,2.0,0.4494,0,0.0,0.0,1.0,0,0.0
12.0,11.0,39.0,3.0,0.3195,0,0.0,0.0,1.0,0,0.0
6.0,10.0,17.0,1.0,0.6017,0,0.0,0.0,1.0,0,0.0
5.0,13.0,27.0,1.0,0.5224,0,0.0,0.0,1.0,0,0.0
11.0,8.0,34.0,3.0,0.3065,0,0.0,0.0,1.0,0,0.0
11.0,16.0,22.0,2.0,0.4247,25,0.32,0.9,0.0346,6,-0.74
8.0,6.0,44.0,3.0,0.6542,0,0.0,0.0,1.0,0,0.0
8.0,16.0,26.0,2.0,0.3695,30,0.3,0.82,0.0312,6,-1.67
10.0,5.0,33.0,3.0,0.5833,0,0.0,0.0,1.0,0,0.0
