time_open,time_close,side,entry,sl,tp,exit_price,R,MFE_R,MAE_R,module,weekday,gmt_hour,session_bucket,comment
2023.09.01 16:45:00,2023.09.04 10:42:35,SELL,15882.55,15963.12,15801.98,15963.98,-1.0107,0.7196,0.9983,OBREC,5,13,4,OBREC_S
2023.09.12 21:00:00,2023.09.13 04:31:26,SELL,15726.93,15761.84,15692.02,15691.90,1.0034,0.9968,0.2163,OBREC,2,18,0,OBREC_S
2023.09.13 11:15:00,2023.09.13 11:41:40,SELL,15666.03,15709.27,15622.79,15622.58,1.0049,0.9981,0.0937,OBREC,3,8,2,OBREC_S
2023.09.15 05:30:00,2023.09.15 09:39:55,BUY,15901.78,15862.76,15940.80,15941.33,1.0136,0.9880,0.4933,OBREC,5,2,0,OBREC_L
2023.09.19 03:45:00,2023.09.19 03:48:17,SELL,15729.83,15736.22,15723.44,15736.48,-1.0407,0.0548,0.9624,OBREC,2,0,0,OBREC_S
2023.09.19 10:45:00,2023.09.19 11:07:18,SELL,15713.63,15735.26,15692.00,15736.18,-1.0425,0.3444,0.9963,OBREC,2,7,1,OBREC_S
2023.09.19 22:15:00,2023.09.20 06:54:40,SELL,15680.33,15702.34,15658.32,15657.58,1.0336,0.9882,0.8928,OBREC,2,19,0,OBREC_S
2023.09.20 22:45:00,2023.09.21 05:00:01,SELL,15715.23,15800.81,15629.65,15629.18,1.0055,0.9996,0.0765,OBREC,3,19,0,OBREC_S
2023.09.26 09:30:00,2023.09.26 09:47:41,SELL,15361.23,15378.47,15343.99,15343.78,1.0122,0.9890,0.2639,OBREC,2,6,0,OBREC_S
2023.09.27 15:30:00,2023.09.27 16:11:29,SELL,15238.33,15269.73,15206.93,15270.68,-1.0303,0.2373,0.9984,OBREC,3,12,0,OBREC_S
2023.09.27 17:30:00,2023.09.27 18:43:22,SELL,15228.33,15273.50,15183.16,15182.68,1.0106,0.9885,0.2336,OBREC,3,14,4,OBREC_S
2023.09.28 09:30:00,2023.09.28 09:42:10,SELL,15236.53,15254.12,15218.94,15255.08,-1.0546,0.0000,0.9977,OBREC,4,6,0,OBREC_S
2023.10.05 05:00:00,2023.10.05 10:11:04,BUY,15160.78,15086.13,15235.43,15085.43,-1.0094,0.1052,0.9960,OBREC,4,2,0,OBREC_L
2023.10.05 12:00:00,2023.10.06 10:21:01,SELL,15076.43,15159.18,14993.68,15159.38,-1.0024,0.4526,0.9903,OBREC,4,9,2,OBREC_S
2023.10.09 10:15:00,2023.10.09 11:56:04,SELL,15101.83,15177.27,15026.39,15177.38,-1.0015,0.3904,0.9882,OBREC,1,7,1,OBREC_S
2023.10.13 10:30:00,2023.10.13 10:40:03,SELL,15375.93,15395.82,15356.04,15396.48,-1.0332,0.2237,0.9829,OBREC,5,7,1,OBREC_S
