time_open,time_close,side,entry,sl,tp,exit_price,R,MFE_R,MAE_R,module,weekday,gmt_hour,session_bucket,comment
2023.09.04 13:00:00,2023.09.04 14:37:34,BUY,15923.98,15895.05,15952.91,15894.93,-1.0042,0.4477,0.9696,SOT,1,10,2,DX1_S_B_L
2023.09.04 18:15:00,2023.09.05 09:16:06,SELL,15812.93,15850.90,15774.96,15774.58,1.0101,0.9838,0.5676,SOT,1,15,4,DX1_S_D_S
2023.09.07 13:00:00,2023.09.07 14:27:46,BUY,15759.38,15710.42,15808.34,15709.83,-1.0121,0.2339,0.9508,SOT,4,10,2,DX1_S_D_L
2023.09.13 18:15:00,2023.09.13 21:55:00,BUY,15663.08,15612.65,15713.51,15612.03,-1.0122,0.0882,0.8338,SOT,3,15,4,DX1_S_D_L
2023.09.14 13:45:00,2023.09.14 14:35:16,BUY,15674.48,15637.70,15711.26,15637.13,-1.0156,0.5561,0.9612,SOT,4,10,2,DX1_S_D_L
2023.09.15 18:15:00,2023.09.18 10:13:41,SELL,15879.33,15923.53,15835.13,15835.06,1.0016,0.9016,0.6708,SOT,5,15,4,DX1_S_D_S
2023.09.18 18:15:00,2023.09.18 19:04:28,SELL,15697.13,15749.12,15645.14,15749.98,-1.0165,0.0000,0.9780,SOT,1,15,4,DX1_S_D_S
2023.09.20 18:15:00,2023.09.20 22:13:58,BUY,15778.28,15749.58,15806.98,15748.73,-1.0296,0.9041,0.9250,SOT,3,15,4,DX1_S_D_L
2023.09.21 21:30:00,2023.09.21 22:32:05,SELL,15522.83,15550.06,15495.60,15494.68,1.0338,0.9604,0.1965,SOT,4,18,0,DX1_S_D_S
2023.09.25 18:15:00,2023.09.25 18:43:47,SELL,15363.23,15416.07,15310.39,15418.58,-1.0475,0.0000,0.8431,SOT,1,15,4,DX1_S_D_S
2023.09.28 18:15:00,2023.09.28 18:45:44,BUY,15294.98,15245.62,15344.34,15344.43,1.0019,0.9614,0.0719,SOT,4,15,4,DX1_S_D_L
2023.09.28 21:30:00,2023.09.28 21:36:28,BUY,15330.98,15301.23,15360.73,15300.43,-1.0269,0.0000,0.7580,SOT,4,18,0,DX1_S_D_L
2023.09.29 13:00:00,2023.09.29 15:39:23,BUY,15449.58,15405.38,15493.78,15494.03,1.0057,0.9378,0.3066,SOT,5,10,2,DX1_S_D_L
2023.09.29 18:15:00,2023.09.29 20:15:14,SELL,15389.03,15448.47,15329.59,15329.58,1.0001,0.9833,0.4971,SOT,5,15,4,DX1_S_D_S
2023.10.02 13:00:00,2023.10.02 14:30:05,SELL,15337.73,15391.90,15283.56,15392.28,-1.0070,0.0000,0.9700,SOT,1,10,2,DX1_S_D_S
2023.10.02 18:15:00,2023.10.03 07:58:24,SELL,15224.73,15302.31,15147.15,15146.68,1.0061,0.9674,0.3809,SOT,1,15,4,DX1_S_D_S
2023.10.04 13:45:00,2023.10.04 15:15:39,BUY,15108.18,15076.67,15139.69,15139.82,1.0042,0.7760,0.5253,SOT,3,10,2,DX1_S_D_L
2023.10.04 18:15:00,2023.10.04 22:34:54,SELL,15075.73,15142.31,15009.15,15143.28,-1.0145,0.0000,0.9995,SOT,3,15,4,DX1_S_D_S
2023.10.05 13:00:00,2023.10.05 14:41:54,SELL,15069.43,15122.41,15016.45,15122.98,-1.0107,0.0840,0.9163,SOT,4,10,2,DX1_S_D_S
2023.10.09 13:00:00,2023.10.09 14:56:51,BUY,15148.38,15092.85,15203.91,15092.83,-1.0003,0.3322,0.9823,SOT,1,10,2,DX1_S_D_L
2023.10.12 13:00:00,2023.10.12 14:26:03,BUY,15555.28,15529.21,15581.35,15528.73,-1.0185,0.4393,0.9802,SOT,4,10,2,DX1_S_D_L
