time_open,time_close,side,entry,sl,tp,exit_price,R,MFE_R,MAE_R,module,weekday,gmt_hour,session_bucket,comment
1694087100,1694089844,BUY,15721.38,15649.41,15793.35,15793.83,1.0067,0.9928,-0.0354,VPPOC,4,8,London,VPPOC_REJECT_LONG
1694097900,1694172857,BUY,15730.38,15643.41,15817.35,15642.93,-1.0055,0.6790,-0.9940,VPPOC,4,11,Midday,VPPOC_REJECT_LONG
1694195100,1694423489,SELL,15714.43,15799.74,15629.12,15799.88,-1.0016,0.0639,-0.9899,VPPOC,5,14,USOverlap,VPPOC_REJECT_SHORT
1694515500,1694529918,BUY,15803.48,15706.48,15900.48,15706.43,-1.0005,0.0000,-0.9902,VPPOC,2,7,Frankfurt,VPPOC_REJECT_LONG
1694697300,1694700035,BUY,15657.48,15576.65,15688.28,15688.93,0.3891,0.3767,-0.1800,VPPOC,4,10,London,VPPOC_REJECT_LONG
1695295800,1695302284,BUY,15679.88,15602.09,15718.88,15601.33,-1.0098,0.0315,-0.9969,VPPOC,4,8,London,VPPOC_REJECT_LONG
1695913200,1695924491,BUY,15216.58,15136.02,15297.14,15297.43,1.0036,0.9912,-0.1781,VPPOC,4,12,Midday,VPPOC_REJECT_LONG
1696506300,1696616557,SELL,15115.43,15209.76,14996.08,15211.58,-1.0193,0.9313,-0.9981,VPPOC,4,8,London,VPPOC_REJECT_SHORT
1697131800,1697144942,SELL,15429.73,15515.60,15346.96,15346.78,0.9660,0.9543,-0.1811,VPPOC,4,14,USOverlap,VPPOC_REJECT_SHORT
1697536800,1697648469,BUY,15228.08,15083.25,15372.91,15083.13,-1.0008,0.5071,-0.9939,VPPOC,2,7,Frankfurt,VPPOC_REJECT_LONG
1698228000,1698252725,SELL,14864.33,14976.10,14796.88,14796.28,0.6088,0.5999,-0.4612,VPPOC,3,7,Frankfurt,VPPOC_REJECT_SHORT
1698400800,1698443785,BUY,14740.18,14587.20,14893.16,14586.73,-1.0031,0.5292,-0.9900,VPPOC,5,7,Frankfurt,VPPOC_REJECT_LONG
1698754500,1698830317,SELL,14775.13,14869.57,14680.69,14869.58,-1.0001,0.3542,-0.9948,VPPOC,2,9,London,VPPOC_REJECT_SHORT
1699005600,1699020439,SELL,15207.13,15261.97,15159.98,15159.48,0.8689,0.8507,-0.2106,VPPOC,5,7,Frankfurt,VPPOC_REJECT_SHORT
1699374600,1699455891,BUY,15136.78,15062.96,15210.60,15211.43,1.0112,0.9977,-0.7877,VPPOC,2,13,USOverlap,VPPOC_REJECT_LONG
1699610400,1699622048,SELL,15272.63,15422.43,15229.88,15229.18,0.2901,0.2834,-0.2373,VPPOC,5,7,Frankfurt,VPPOC_REJECT_SHORT
1699639200,1699650512,BUY,15214.68,15115.63,15313.73,15314.13,1.0040,0.9939,-0.0358,VPPOC,5,15,USOverlap,VPPOC_REJECT_LONG
1700042400,1700044928,SELL,15643.13,15692.90,15513.68,15693.18,-1.0056,0.0894,-0.9855,VPPOC,3,7,Frankfurt,VPPOC_REJECT_SHORT
1700215200,1700222830,SELL,15828.73,15926.10,15731.36,15926.28,-1.0018,0.0000,-0.9916,VPPOC,5,7,Frankfurt,VPPOC_REJECT_SHORT
1700560800,1700666698,SELL,15914.43,16001.47,15827.39,16001.88,-1.0047,0.2731,-0.9932,VPPOC,2,7,Frankfurt,VPPOC_REJECT_SHORT
1700820900,1701108394,SELL,15992.83,16055.55,15977.08,15976.88,0.2543,0.2415,-0.9495,VPPOC,5,7,Frankfurt,VPPOC_REJECT_SHORT
1701338400,1701358103,SELL,16205.73,16260.28,16164.18,16261.78,-1.0275,0.5674,-0.9963,VPPOC,4,7,Frankfurt,VPPOC_REJECT_SHORT
1701365400,1701405034,SELL,16223.23,16281.58,16164.18,16281.58,-1.0000,0.2648,-0.9914,VPPOC,4,14,USOverlap,VPPOC_REJECT_SHORT
1701770400,1701777022,SELL,16418.43,16472.29,16364.57,16472.48,-1.0035,0.2126,-0.9850,VPPOC,2,7,Frankfurt,VPPOC_REJECT_SHORT
1702029600,1702058000,SELL,16654.13,16777.41,16530.85,16777.78,-1.0030,0.1018,-0.9989,VPPOC,5,7,Frankfurt,VPPOC_REJECT_SHORT
1702461600,1702500149,SELL,16808.13,16863.39,16752.87,16752.48,1.0071,0.9890,-0.8062,VPPOC,3,7,Frankfurt,VPPOC_REJECT_SHORT
