time_open,time_close,side,entry,sl,tp,exit_price,R,MFE_R,MAE_R,module,gmt_hour,weekday,session_bucket,vwap_dist_atr,vwap_ext_atr,reclaim_atr,f_price_ema200,f_atr_pct,f_rel_vol,f_disp,f_h1_bias
1693822500,1693823873,BUY,15915.48,15881.07,15949.89,15950.43,1.0157,0.9866,-0.1671,VWAPX,7,1,Frankfurt,0.6653,2.1088,2.1653,0.2825,30.8000,1.7684,0.4467,-1
1693908900,1693916036,BUY,15735.38,15690.56,15780.20,15780.53,1.0074,0.9851,-0.9627,VWAPX,7,2,Frankfurt,0.2649,2.6595,1.7649,-9.5211,47.2000,1.1921,0.6835,-1
1693996200,1694019430,BUY,15719.28,15671.64,15766.92,15768.73,1.0380,0.9960,-0.9519,VWAPX,7,3,Frankfurt,0.3971,2.2268,1.8971,-5.5105,53.0000,0.6712,0.8900,-1
1694081700,1694084050,BUY,15682.38,15646.61,15718.15,15718.83,1.0190,0.9911,-0.3229,VWAPX,7,4,Frankfurt,0.1196,1.8519,1.6196,-4.7864,51.6000,1.0220,0.1587,-1
1694169000,1694169073,BUY,15729.48,15716.51,15742.45,15715.93,-1.0447,0.1889,-0.9676,VWAPX,7,5,Frankfurt,-1.0830,1.5006,0.4170,-0.7411,56.2000,0.2715,0.1383,-1
1694434500,1694435679,BUY,15797.88,15764.56,15831.20,15831.83,1.0189,0.9889,-0.1966,VWAPX,9,1,London,-0.7871,1.6269,0.7129,1.9534,88.0000,0.2069,0.3934,1
1694513700,1694513745,BUY,15768.48,15755.45,15781.51,15781.93,1.0322,0.9555,-0.4259,VWAPX,7,2,Frankfurt,-1.1968,1.7693,0.3032,-0.9952,49.8000,1.3750,0.4017,1
1694605500,1694606439,BUY,15633.58,15607.74,15659.42,15607.53,-1.0081,0.4431,-0.9694,VWAPX,8,3,London,-1.2297,1.6832,0.2703,-2.8256,97.8000,0.2615,0.2187,-1
1694687400,1694687722,BUY,15616.68,15592.52,15640.84,15641.13,1.0120,0.9706,-0.4450,VWAPX,7,4,Frankfurt,-0.7112,1.7024,0.7888,-3.9142,52.6000,0.7498,0.3206,-1
1695041100,1695041226,BUY,15799.18,15786.79,15811.57,15811.63,1.0048,0.9241,-0.2058,VWAPX,9,1,London,-1.3821,1.5562,0.1179,-1.4963,72.0000,0.3688,0.3060,1
1695204900,1695208743,BUY,15712.78,15677.07,15748.49,15749.23,1.0207,0.9927,-0.5139,VWAPX,7,3,Frankfurt,0.3542,1.8026,1.8542,-0.7519,41.0000,1.1854,0.0688,-1
1695302100,1695302645,BUY,15617.88,15595.17,15640.59,15594.33,-1.0370,0.0000,-0.9930,VWAPX,10,4,London,-1.2997,1.7434,0.2003,-2.8941,92.0000,0.6202,0.7532,-1
1695377700,1695641854,BUY,15517.18,15443.89,15590.47,15443.83,-1.0008,0.9517,-0.9817,VWAPX,7,5,Frankfurt,1.3601,2.4573,2.8601,-5.5640,53.2000,0.8583,0.7022,-1
1695645000,1695654638,BUY,15457.78,15390.53,15525.03,15390.23,-1.0045,0.1822,-0.9896,VWAPX,9,1,London,-0.8465,2.6259,0.6535,-3.2293,99.8000,0.1411,0.1855,-1
1695725100,1695748414,BUY,15340.28,15250.57,15429.99,15249.23,-1.0149,0.2057,-0.9920,VWAPX,7,2,Frankfurt,1.4926,1.9655,2.9926,-5.3410,72.8000,0.3508,0.3980,-1
