time_open,time_close,side,entry,sl,tp,exit_price,R,MFE_R,MAE_R,module,gmt_hour,weekday,session_bucket,vwap_dist_atr,vwap_ext_atr,reclaim_atr,f_price_ema200,f_atr_pct,f_rel_vol,f_disp,f_h1_bias
1735812900,1735813678,BUY,20022.83,19922.32,20123.34,19921.38,-1.0094,0.0851,-0.9914,VWAPX,7,4,Frankfurt,1.1196,2.3200,2.6196,4.0162,67.4000,5.8958,2.6415,-1
1735902900,1735919195,BUY,19966.83,19912.50,20021.16,19911.38,-1.0206,0.3046,-0.9470,VWAPX,8,5,London,0.0737,1.6949,1.5737,0.8334,58.8000,2.3499,1.4849,1
1736159400,1736160672,BUY,19952.73,19918.15,19987.31,19989.28,1.0570,0.8835,-0.2154,VWAPX,7,1,Frankfurt,-1.0252,2.2214,0.4748,0.2890,46.0000,3.3990,1.6224,1
1736331300,1736335360,BUY,20358.33,20290.93,20425.73,20426.88,1.0171,0.9874,-0.1550,VWAPX,7,3,Frankfurt,1.0963,2.3115,2.5963,8.4804,35.0000,6.3143,2.7780,1
1736417700,1736431879,BUY,20289.53,20248.17,20330.89,20332.08,1.0288,0.9804,-0.4340,VWAPX,7,4,Frankfurt,0.7199,1.5085,2.2199,0.5886,30.2000,7.2375,1.8035,1
1736765100,1736765936,BUY,20105.23,20083.74,20126.72,20083.58,-1.0074,0.4909,-0.9981,VWAPX,7,1,Frankfurt,-1.4227,2.0384,0.0773,-7.1717,55.8000,2.9275,1.9385,-1
1736849700,1736868608,BUY,20285.73,20219.52,20351.94,20354.78,1.0429,0.9855,-0.6034,VWAPX,7,2,Frankfurt,0.9955,2.1553,2.4955,3.0265,43.0000,6.7826,2.8667,-1
1737023400,1737023711,BUY,20620.43,20606.86,20634.00,20634.98,1.0722,0.9985,-0.9912,VWAPX,7,4,Frankfurt,-1.3187,1.5200,0.1813,6.3983,71.4000,3.0439,2.1496,1
1737368100,1737387002,BUY,20940.33,20895.61,20985.05,20891.08,-1.1013,0.0123,-0.9314,VWAPX,7,1,Frankfurt,0.8730,1.9670,2.3730,13.0843,26.2000,5.7246,2.5978,1
1737570600,1737634647,BUY,21276.23,21219.47,21332.99,21333.48,1.0086,0.9910,-0.7232,VWAPX,15,3,USOverlap,-0.1601,2.1904,1.3399,7.8446,73.2000,1.0193,1.3959,1
1737730800,1737734401,BUY,21468.43,21442.31,21494.55,21441.78,-1.0203,0.0000,-0.9437,VWAPX,12,5,Midday,-1.1957,2.1448,0.3043,5.6180,61.8000,0.5116,0.7650,1
1737982800,1737983576,BUY,21119.13,21081.83,21156.43,21156.48,1.0013,0.9745,-0.1783,VWAPX,10,1,London,-1.0383,1.6228,0.4617,-4.8215,99.8000,1.5241,0.7588,-1
1738257300,1738262188,BUY,21706.83,21660.78,21752.88,21753.38,1.0109,0.9891,-0.1618,VWAPX,14,4,USOverlap,0.2684,1.5260,1.7684,5.6182,63.0000,2.2354,0.3639,1
1738666800,1738680172,BUY,21387.43,21297.70,21477.16,21477.98,1.0091,0.9980,-0.0072,VWAPX,8,2,London,-0.3600,2.0872,1.1400,-2.1112,90.4000,2.4676,1.4233,-1
1738923300,1738925539,BUY,21934.68,21902.32,21967.04,21902.13,-1.0059,0.6320,-0.9750,VWAPX,7,5,Frankfurt,0.2469,1.7054,1.7469,14.0468,15.6000,6.9476,0.7656,1
1739268900,1739269092,BUY,21932.98,21896.63,21969.33,21969.43,1.0028,0.9752,-0.0702,VWAPX,7,2,Frankfurt,0.9125,1.8199,2.4125,5.5247,21.4000,6.4476,1.1681,1
1739376000,1739381064,BUY,22067.68,21972.27,22163.09,22164.13,1.0109,0.9795,-0.2694,VWAPX,13,3,USOverlap,-1.0778,4.1020,0.4222,2.1529,91.6000,2.0712,2.7438,1
1739528100,1739529997,BUY,22538.38,22500.39,22576.37,22576.83,1.0121,0.9858,-0.4093,VWAPX,7,5,Frankfurt,0.1955,1.5979,1.6955,9.7173,45.8000,7.2929,0.8264,1
1739787300,1739790780,BUY,22586.98,22552.79,22621.17,22621.43,1.0076,0.9784,-0.6595,VWAPX,7,1,Frankfurt,0.2294,1.6814,1.7294,8.0966,35.4000,5.7976,1.8106,1
1739873700,1739874667,BUY,22797.98,22778.43,22817.53,22818.43,1.0460,0.9949,-0.9386,VWAPX,7,2,Frankfurt,-0.9750,1.5127,0.5250,5.9396,68.4000,5.9748,3.1278,1
1739960100,1739966592,BUY,22920.98,22881.53,22960.43,22881.43,-1.0025,0.8479,-0.9772,VWAPX,7,3,Frankfurt,0.8114,1.9262,2.3114,11.0877,26.6000,5.5280,2.4642,1
1740393900,1740394839,BUY,22330.03,22241.22,22418.84,22423.18,1.0489,0.9588,-0.1543,VWAPX,7,1,Frankfurt,-0.7526,2.1066,0.7474,-1.9050,99.6000,3.4988,2.5888,-1
1740564900,1740567972,BUY,22587.83,22522.97,22652.69,22653.48,1.0122,0.9991,-0.3500,VWAPX,7,3,Frankfurt,0.3240,1.7164,1.8240,4.0557,49.8000,8.3595,1.4612,1
1740654000,1740655785,BUY,22542.08,22484.58,22599.58,22600.53,1.0165,0.9965,-0.1513,VWAPX,8,4,London,-0.5323,1.6760,0.9677,-1.2137,69.8000,2.3379,1.1675,1
1740996900,1740997521,BUY,22695.83,22626.27,22765.39,22625.93,-1.0049,0.0446,-0.9905,VWAPX,7,1,Frankfurt,-0.1040,1.5706,1.3960,4.1334,58.0000,6.6733,1.3459,1
1741090500,1741091805,BUY,22712.73,22635.99,22789.47,22635.88,-1.0014,0.3017,-0.9969,VWAPX,9,2,London,-0.8898,1.5533,0.6102,-1.2394,99.6000,1.5410,0.4018,1
1741169700,1741173947,BUY,22939.33,22790.37,23088.29,23088.48,1.0013,0.9889,-0.3102,VWAPX,7,3,Frankfurt,1.0275,2.0438,2.5275,4.2893,56.4000,7.2921,1.9057,1
1741256100,1741260621,BUY,23384.93,23204.82,23565.04,23203.58,-1.0069,0.3534,-0.9958,VWAPX,7,4,Frankfurt,1.1558,2.3866,2.6558,8.4653,55.0000,7.9732,1.7280,1
1741344300,1741346025,BUY,23075.33,23002.03,23148.63,23149.68,1.0143,0.9986,-0.5559,VWAPX,7,5,Frankfurt,-1.2428,2.4700,0.2572,-0.9981,45.4000,3.2904,1.0834,1
1741606200,1741606942,BUY,23075.78,22972.26,23179.30,22971.68,-1.0056,0.0043,-0.9964,VWAPX,8,1,London,-0.5712,2.5515,0.9288,-0.8413,34.4000,5.1134,2.4561,1
1741691700,1741705857,BUY,22765.23,22629.14,22901.32,22628.38,-1.0056,0.6180,-0.9986,VWAPX,8,2,London,0.5670,1.6949,2.0670,-1.7383,37.6000,7.0237,0.3483,-1
1741803300,1741804336,BUY,22563.13,22480.52,22645.74,22646.28,1.0065,0.9823,-0.1071,VWAPX,15,3,USOverlap,-1.1882,1.9770,0.3118,-1.4098,75.4000,1.1772,0.8402,-1
1741865400,1741870768,BUY,22568.73,22419.46,22718.00,22718.18,1.0012,0.9958,-0.5507,VWAPX,8,4,London,0.1100,2.1758,1.6100,-1.4505,48.8000,5.3464,0.7570,-1
1741950000,1741950000,BUY,22571.53,22545.84,22597.22,22544.48,-1.0529,0.0000,-0.9159,VWAPX,8,5,London,-1.0721,1.6643,0.4279,-1.7552,17.8000,1.9011,1.3546,-1
1742296500,1742297760,BUY,23333.73,23245.70,23421.76,23424.23,1.0281,0.9940,-0.0528,VWAPX,8,2,London,1.5768,1.5193,3.0768,11.6017,17.8000,7.1214,1.2326,1
1742381100,1742381617,BUY,23256.73,23230.55,23282.91,23228.68,-1.0714,0.2464,-0.9798,VWAPX,7,3,Frankfurt,-1.2807,1.8910,0.2193,0.8366,29.6000,5.5285,1.7247,1
1742479200,1742556257,BUY,22992.08,22806.59,23177.57,22802.73,-1.0208,0.3442,-0.9992,VWAPX,11,4,Midday,-1.1549,3.2913,0.3451,-3.3117,95.4000,1.2127,1.4185,-1
1742557500,1742557555,BUY,22808.23,22772.93,22843.53,22843.73,1.0057,0.9773,0.0000,VWAPX,8,5,London,-1.3836,1.7691,0.1164,-5.5630,77.0000,3.2786,1.9294,-1
1742984100,1742985249,BUY,23184.38,23136.12,23232.64,23232.83,1.0039,0.9998,-0.0736,VWAPX,7,3,Frankfurt,1.1531,2.2056,2.6531,10.6517,5.2000,3.9317,3.2413,1
1743070500,1743071630,BUY,22637.83,22589.84,22685.82,22588.93,-1.0190,0.0000,-0.9356,VWAPX,7,4,Frankfurt,0.0388,1.7660,1.5388,-11.9000,28.8000,4.7569,0.9211,-1
1743167700,1743169320,BUY,22521.08,22435.28,22606.88,22607.03,1.0017,0.9901,-0.0064,VWAPX,10,5,London,-0.7253,1.8753,0.7747,-3.7423,91.4000,1.2920,0.9548,-1
1743426000,1743426276,BUY,22147.18,22105.01,22189.35,22104.63,-1.0090,0.2952,-0.9853,VWAPX,10,1,London,-1.2348,1.5067,0.2652,-5.3383,99.0000,0.9387,0.8139,-1
1743588900,1743589542,BUY,22392.58,22363.59,22421.57,22362.03,-1.0538,0.7744,-0.9503,VWAPX,7,3,Frankfurt,-1.1234,1.7445,0.3766,-1.4442,36.2000,6.4356,1.3106,1
1743689700,1743693500,BUY,21890.88,21800.50,21981.26,21982.33,1.0118,0.9897,-0.6478,VWAPX,11,4,Midday,-1.3403,2.2822,0.1597,-4.7580,91.6000,0.9369,0.7695,-1
1743763500,1743763566,BUY,21464.38,21424.65,21504.11,21504.43,1.0081,0.9577,-0.0894,VWAPX,7,5,Frankfurt,-1.4205,1.6832,0.0795,-7.1379,89.0000,3.0149,1.2604,-1
1744141500,1744141697,BUY,20076.13,20006.39,20145.87,20146.43,1.0080,0.7836,-0.1914,VWAPX,16,2,Late,-1.2384,1.6049,0.2616,-2.7881,67.4000,1.3026,1.6007,-1
1744193700,1744207219,BUY,19860.03,19536.68,20183.38,19504.68,-1.0990,0.5247,-0.9753,VWAPX,7,3,Frankfurt,0.7352,1.5173,2.2352,-1.8463,71.0000,4.0759,1.7571,-1
