time_open,time_close,side,entry,sl,tp,exit_price,R,MFE_R,MAE_R,module,gmt_hour,weekday,session_bucket,vwap_dist_atr,vwap_ext_atr,reclaim_atr,f_price_ema200,f_atr_pct,f_rel_vol,f_disp,f_h1_bias
1736417700,1736431879,BUY,20289.53,20248.17,20330.89,20332.08,1.0288,0.9804,-0.4340,VWAPX,7,4,Frankfurt,0.7199,1.5085,2.2199,0.5886,30.2000,0.3304,1.1004,1
1737570600,1737634647,BUY,21276.23,21219.47,21332.99,21333.48,1.0086,0.9910,-0.7232,VWAPX,15,3,USOverlap,-0.1601,2.1904,1.3399,7.8446,73.2000,0.8240,1.5601,1
1737730800,1737734401,BUY,21468.43,21442.31,21494.55,21441.78,-1.0203,0.0000,-0.9437,VWAPX,12,5,Midday,-1.1957,2.1448,0.3043,5.6180,61.8000,1.9239,0.9658,1
1737982800,1737983576,BUY,21119.13,21081.83,21156.43,21156.48,1.0013,0.9745,-0.1783,VWAPX,10,1,London,-1.0383,1.6228,0.4617,-4.8215,99.8000,0.1607,0.8181,-1
1738257300,1738262188,BUY,21706.83,21660.78,21752.88,21753.38,1.0109,0.9891,-0.1618,VWAPX,14,4,USOverlap,0.2684,1.5260,1.7684,5.6182,63.0000,0.8775,0.9870,1
1741169700,1741173947,BUY,22939.33,22790.37,23088.29,23088.48,1.0013,0.9889,-0.3102,VWAPX,7,3,Frankfurt,1.0275,2.0438,2.5275,4.2893,56.4000,0.4801,1.5164,1
1743689700,1743693500,BUY,21890.88,21800.50,21981.26,21982.33,1.0118,0.9897,-0.6478,VWAPX,11,4,Midday,-1.3403,2.2822,0.1597,-4.7580,91.6000,0.7523,2.1299,-1
1745331300,1745332223,BUY,21077.98,21039.19,21116.77,21117.43,1.0170,0.9912,-0.2978,VWAPX,11,2,Midday,-1.2663,1.7835,0.2337,-1.4785,33.6000,0.5401,1.3461,1
1745419500,1745421871,BUY,21805.58,21771.83,21839.33,21771.03,-1.0237,0.5763,-0.9052,VWAPX,11,3,Midday,-1.1833,1.5962,0.3167,7.8615,39.0000,2.2114,0.9483,1
1746785700,1746789553,BUY,23505.38,23443.78,23566.98,23442.83,-1.0154,0.3969,-0.9830,VWAPX,7,5,Frankfurt,0.4551,1.5412,1.9551,7.3535,27.8000,0.6967,1.1929,1
