time_open,time_close,side,entry,sl,tp,exit_price,R,MFE_R,MAE_R,module,weekday,gmt_hour,session_bucket,comment
2023.09.13 12:45:00,2023.09.13 13:29:41,SELL,15622.53,15677.57,15567.49,15567.08,1.0075,0.9893,0.2280,XETRA,3,9,1,XETRA_S
2023.10.17 11:45:00,2023.10.17 12:19:15,SELL,15204.53,15245.46,15163.60,15246.08,-1.0152,0.0843,0.9908,XETRA,2,8,1,XETRA_S
2023.10.31 12:45:00,2023.10.31 21:02:41,BUY,14799.68,14757.63,14841.73,14842.13,1.0094,0.9856,0.9880,XETRA,2,9,1,XETRA_L
2023.11.07 11:45:00,2023.11.07 15:56:12,SELL,15101.23,15134.44,15068.02,15134.52,-1.0023,0.8867,0.9948,XETRA,2,8,1,XETRA_S
2023.11.08 12:00:00,2023.11.08 12:58:01,SELL,15094.93,15126.46,15063.40,15126.98,-1.0164,0.1982,0.9847,XETRA,3,9,1,XETRA_S
2023.11.13 12:45:00,2023.11.13 13:35:56,BUY,15301.78,15271.57,15331.99,15271.23,-1.0111,0.3128,0.9780,XETRA,1,9,1,XETRA_L
2023.11.20 11:45:00,2023.11.20 12:03:34,BUY,15915.08,15893.42,15936.74,15937.53,1.0363,0.9901,0.2100,XETRA,1,8,1,XETRA_L
2023.11.24 12:45:00,2023.11.24 15:32:33,BUY,16017.18,15993.88,16040.48,15993.63,-1.0106,0.4913,0.9831,XETRA,5,9,1,XETRA_L
2023.12.07 12:00:00,2023.12.07 15:36:02,BUY,16642.78,16618.29,16667.27,16618.23,-1.0023,0.3042,0.9615,XETRA,4,9,1,XETRA_L
2023.12.11 11:45:00,2023.12.11 11:56:27,BUY,16794.38,16768.87,16819.89,16768.83,-1.0015,0.0000,0.9623,XETRA,1,8,1,XETRA_L
2023.12.12 11:45:00,2023.12.12 12:08:52,BUY,16850.28,16826.89,16873.67,16826.73,-1.0069,0.1475,0.9641,XETRA,2,8,1,XETRA_L
2023.12.21 11:45:00,2023.12.21 12:03:51,SELL,16688.43,16714.12,16662.74,16661.98,1.0295,0.9905,0.5663,XETRA,4,8,1,XETRA_S
2023.12.29 12:15:00,2023.12.29 15:26:48,BUY,16764.78,16742.84,16786.72,16787.23,1.0231,0.9775,0.7087,XETRA,5,9,1,XETRA_L
2024.01.19 12:00:00,2024.01.19 15:41:08,BUY,16617.38,16580.01,16654.75,16579.83,-1.0048,0.6007,0.9780,XETRA,5,9,1,XETRA_L
2024.02.01 11:45:00,2024.02.01 13:50:14,SELL,16852.83,16893.77,16811.89,16894.38,-1.0149,0.0000,0.9905,XETRA,4,8,1,XETRA_S
2024.02.05 12:00:00,2024.02.05 12:25:06,SELL,16909.13,16936.06,16882.21,16936.68,-1.0232,0.0000,0.9861,XETRA,1,9,1,XETRA_S
2024.03.01 11:45:00,2024.03.01 12:13:23,BUY,17801.58,17771.64,17831.52,17771.57,-1.0025,0.1487,0.9935,XETRA,5,8,1,XETRA_L
2024.03.04 11:45:00,2024.03.04 12:00:23,BUY,17774.78,17752.97,17796.59,17752.23,-1.0337,0.0206,0.9879,XETRA,1,8,1,XETRA_L
2024.03.27 11:45:00,2024.03.27 13:03:12,BUY,18469.68,18449.16,18490.20,18491.13,1.0454,0.9967,0.9528,XETRA,3,8,1,XETRA_L
2024.04.04 12:30:00,2024.04.04 17:40:33,BUY,18444.18,18411.23,18477.13,18477.43,1.0092,0.9849,0.9212,XETRA,4,9,1,XETRA_L
2024.04.16 12:15:00,2024.04.16 14:22:52,SELL,17822.73,17877.35,17768.11,17878.28,-1.0170,0.2829,0.9987,XETRA,2,9,1,XETRA_S
2024.04.22 12:00:00,2024.04.22 12:40:34,BUY,17849.18,17810.12,17888.24,17888.27,1.0007,0.9932,0.1165,XETRA,1,9,1,XETRA_L
2024.05.17 12:45:00,2024.05.17 17:03:14,SELL,18681.83,18720.66,18643.00,18721.38,-1.0186,0.6503,0.9928,XETRA,5,9,1,XETRA_S
2024.06.18 12:30:00,2024.06.18 15:36:09,SELL,18145.23,18193.04,18097.42,18096.78,1.0134,0.9925,0.7237,XETRA,2,9,1,XETRA_S
2024.06.27 12:15:00,2024.06.27 14:33:07,SELL,18171.33,18215.08,18127.58,18215.88,-1.0182,0.4903,0.9954,XETRA,4,9,1,XETRA_S
2024.07.01 12:00:00,2024.07.01 16:41:29,BUY,18328.58,18264.39,18392.77,18393.33,1.0087,0.9931,0.9074,XETRA,1,9,1,XETRA_L
