entry_time,exit_time,side,module,entry_price,exit_price,sl,tp,risk,fill,bar,exit_bar,R,reason
2025-08-06 10:00:00,2025-08-07 05:15:00,short,BR,23884.70,24045.60,24041.54,23727.86,156.840554,23884.70,276,336,-1.025883,SL
2025-08-28 10:00:00,2025-08-29 08:45:00,short,BR,24038.40,23885.69,24191.11,23885.69,152.713613,24038.40,1540,1614,1.000000,TP
2025-09-03 10:00:00,2025-09-05 00:15:00,long,BR,23688.00,23846.00,23531.14,23844.86,156.861112,23688.00,1856,1975,1.007260,TP
2025-09-08 18:30:00,2025-09-09 09:00:00,long,BR,23798.60,23665.42,23665.42,23931.78,133.182446,23798.60,2127,2168,-1.000000,SL
2025-09-15 18:30:00,2025-09-16 00:30:00,short,BR,23729.20,23707.67,23750.73,23707.67,21.531945,23729.20,2522,2529,1.000000,TP
2025-09-26 18:30:00,2025-09-30 15:00:00,long,BR,23763.80,23915.37,23612.23,23915.37,151.567714,23763.80,3233,3377,1.000000,TP
2025-10-01 18:30:00,2025-10-02 08:30:00,long,BR,24276.60,24469.94,24083.26,24469.94,193.336219,24276.60,3470,3509,1.000000,TP
2025-10-02 10:45:00,2025-10-09 06:00:00,long,BR,24466.50,24677.09,24255.91,24677.09,210.589587,24466.50,3518,3894,1.000000,TP
2025-10-15 10:45:00,2025-10-15 15:45:00,short,BR,24267.50,24154.90,24380.10,24154.90,112.597154,24267.50,4229,4249,1.000000,TP
2025-10-20 10:00:00,2025-10-20 13:45:00,long,BR,24141.00,24263.23,24018.77,24263.23,122.227503,24141.00,4463,4478,1.000000,TP
2025-10-27 10:45:00,2025-10-29 14:45:00,short,BR,24265.00,24118.85,24411.15,24118.85,146.146504,24265.00,4861,5043,1.000000,TP
2025-11-07 10:00:00,2025-11-07 14:30:00,short,BR,23625.20,23460.26,23790.14,23460.26,164.940910,23625.20,5605,5623,1.000000,TP
2025-11-10 10:00:00,2025-11-12 08:30:00,long,BR,24002.00,24368.23,23635.77,24368.23,366.227015,24002.00,5688,5848,1.000000,TP
2025-11-20 15:15:00,2025-11-20 16:30:00,long,BR,23512.50,23282.36,23282.36,23742.64,230.142080,23512.50,6373,6378,-1.000000,SL
2025-11-24 15:15:00,2025-11-24 15:30:00,long,BR,23303.50,23303.50,23248.03,23358.97,55.471491,23303.50,6539,6540,0.000000,TP
2025-12-05 10:45:00,2025-12-10 20:00:00,long,BR,24036.30,24225.20,23847.40,24225.20,188.898977,24036.30,7268,7554,1.000000,TP
2025-12-11 10:45:00,2025-12-11 14:30:00,long,BR,24167.90,24290.90,24044.90,24290.90,123.002433,24167.90,7600,7615,1.000000,TP
2025-12-17 10:45:00,2025-12-17 13:15:00,short,BR,24095.60,24034.24,24156.96,24034.24,61.358954,24095.60,7932,7942,1.000000,TP
2025-12-17 18:30:00,2025-12-18 10:45:00,short,BR,23940.00,24037.80,24037.80,23842.20,97.800153,23940.00,7963,8015,-1.000000,SL
2025-12-18 15:15:00,2025-12-19 15:00:00,long,BR,24155.50,24326.04,23984.96,24326.04,170.535579,24155.50,8033,8115,1.000000,TP
2026-01-19 10:45:00,2026-01-20 06:15:00,short,BR,24958.00,24791.74,25124.26,24791.74,166.259439,24958.00,9426,9491,1.000000,TP
2026-01-21 10:00:00,2026-01-21 12:30:00,short,BR,24571.00,24445.50,24696.50,24445.50,125.502738,24571.00,9589,9599,1.000000,TP
2026-02-02 15:15:00,2026-02-03 07:00:00,long,BR,24857.10,24993.01,24721.19,24993.01,135.905568,24857.10,10274,10324,1.000000,TP
2026-02-06 10:45:00,2026-02-09 08:00:00,long,BR,24619.80,24880.23,24359.37,24880.23,260.434007,24619.80,10588,10660,1.000000,TP
2026-02-09 15:15:00,2026-02-12 08:00:00,long,BR,24936.50,25105.93,24767.07,25105.93,169.430489,24936.50,10689,10909,1.000000,TP
2026-02-18 10:45:00,2026-02-23 16:00:00,long,BR,25256.10,24975.61,24975.61,25536.59,280.493243,25256.10,11252,11522,-1.000000,SL
2026-03-04 10:00:00,2026-03-04 10:15:00,long,BR,24124.70,24124.70,23824.67,24424.73,300.032786,24124.70,12079,12080,0.000000,TP
2026-03-05 15:15:00,2026-03-06 11:30:00,short,BR,23936.10,23589.90,24282.30,23589.90,346.200239,23936.10,12183,12251,1.000000,TP
2026-03-09 15:15:00,2026-03-09 19:15:00,long,BR,23454.70,23707.25,23202.15,23707.25,252.546015,23454.70,12349,12365,1.000000,TP
2026-03-11 10:00:00,2026-03-11 10:30:00,short,FVG,23638.20,23726.48,23726.48,23549.92,88.279433,23638.20,12494,12496,-1.000000,SL
2026-03-13 15:15:00,2026-03-17 13:00:00,short,BR,23479.20,23718.58,23718.58,23239.82,239.383517,23479.20,12681,12838,-1.000000,SL
2026-03-18 10:00:00,2026-03-18 12:00:00,long,BR,23927.20,23781.36,23781.36,24073.04,145.839024,23927.20,12909,12917,-1.000000,SL
2026-03-18 18:30:00,2026-03-18 19:30:00,short,BR,23446.80,23294.47,23599.13,23294.47,152.334593,23446.80,12943,12947,1.000000,TP
2026-03-20 10:00:00,2026-03-20 14:45:00,short,BR,22797.00,22506.76,23087.24,22506.76,290.240659,22797.00,13075,13094,1.000000,TP
2026-03-27 10:45:00,2026-03-30 00:15:00,short,BR,22353.00,22051.00,22597.28,22108.72,244.276965,22353.00,13493,13534,1.236302,TP
2026-03-30 10:45:00,2026-03-30 11:15:00,long,BR,22395.00,22566.47,22223.53,22566.47,171.473497,22395.00,13576,13578,1.000000,TP
2026-04-02 10:00:00,2026-04-02 11:30:00,short,BR,22926.30,22806.58,23046.02,22806.58,119.719215,22926.30,13810,13816,1.000000,TP
2026-04-10 10:45:00,2026-04-10 17:30:00,long,BR,24068.60,23798.96,23798.96,24338.24,269.641475,24068.60,14129,14156,-1.000000,SL
2026-04-16 10:00:00,2026-04-17 09:45:00,long,BR,24259.50,24414.50,24104.50,24414.50,154.998757,24259.50,14442,14520,1.000000,TP
2026-04-30 10:45:00,2026-05-06 00:15:00,long,BR,24101.40,24564.20,23667.44,24535.36,433.955302,24101.40,15235,15430,1.066469,TP
2026-05-06 10:45:00,2026-05-07 15:15:00,long,BR,25143.20,24681.64,24681.64,25604.76,461.564785,25143.20,15472,15569,-1.000000,SL
2026-05-07 18:30:00,2026-05-15 15:45:00,short,BR,24472.00,23862.88,25081.12,23862.88,609.117535,24472.00,15582,16045,1.000000,TP
2026-05-20 10:00:00,2026-05-20 14:15:00,long,BR,24542.60,24685.87,24399.33,24685.87,143.267666,24542.60,16259,16276,1.000000,TP
2026-05-20 15:15:00,2026-05-25 03:15:00,long,BR,24748.40,25162.81,24333.99,25162.81,414.407252,24748.40,16280,16469,1.000000,TP
2026-05-25 10:00:00,2026-05-25 14:15:00,long,BR,25251.80,25350.74,25152.86,25350.74,98.938743,25251.80,16496,16513,1.000000,TP
